"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","EappINF","HpolINF","H.poly.EPG","PropOnGrid_10","NemNoInf_10","NemNoUninf_10","NemPrev_10","NemNoTotal_10","NemTotBurden_10","NemMeanBurden_10","EimNoInf_10","EimNoUninf_10","EimPrev_10","EimNoTotal_10","PropOnGrid_14.1","NemNoInf_14.1","NemNoUninf_14.1","NemPrev_14.1","NemNoTotal_14.1","NemTotBurden_14.1","NemMeanBurden_14.1","EimNoInf_14.1","EimNoUninf_14.1","EimPrev_14.1","EimNoTotal_14.1","PropOnGrid_20","NemNoInf_20","NemNoUninf_20","NemPrev_20","NemNoTotal_20","NemTotBurden_20","NemMeanBurden_20","EimNoInf_20","EimNoUninf_20","EimPrev_20","EimNoTotal_20","PropOnGrid_22.4","NemNoInf_22.4","NemNoUninf_22.4","NemPrev_22.4","NemNoTotal_22.4","NemTotBurden_22.4","NemMeanBurden_22.4","EimNoInf_22.4","EimNoUninf_22.4","EimPrev_22.4","EimNoTotal_22.4","PropOnGrid_28.3","NemNoInf_28.3","NemNoUninf_28.3","NemPrev_28.3","NemNoTotal_28.3","NemTotBurden_28.3","NemMeanBurden_28.3","EimNoInf_28.3","EimNoUninf_28.3","EimPrev_28.3","EimNoTotal_28.3","PropOnGrid_30","NemNoInf_30","NemNoUninf_30","NemPrev_30","NemNoTotal_30","NemTotBurden_30","NemMeanBurden_30","EimNoInf_30","EimNoUninf_30","EimPrev_30","EimNoTotal_30","PropOnGrid_31.6","NemNoInf_31.6","NemNoUninf_31.6","NemPrev_31.6","NemNoTotal_31.6","NemTotBurden_31.6","NemMeanBurden_31.6","EimNoInf_31.6","EimNoUninf_31.6","EimPrev_31.6","EimNoTotal_31.6","PropOnGrid_36.1","NemNoInf_36.1","NemNoUninf_36.1","NemPrev_36.1","NemNoTotal_36.1","NemTotBurden_36.1","NemMeanBurden_36.1","EimNoInf_36.1","EimNoUninf_36.1","EimPrev_36.1","EimNoTotal_36.1","PropOnGrid_40","NemNoInf_40","NemNoUninf_40","NemPrev_40","NemNoTotal_40","NemTotBurden_40","NemMeanBurden_40","EimNoInf_40","EimNoUninf_40","EimPrev_40","EimNoTotal_40","PropOnGrid_50","NemNoInf_50","NemNoUninf_50","NemPrev_50","NemNoTotal_50","NemTotBurden_50","NemMeanBurden_50","EimNoInf_50","EimNoUninf_50","EimPrev_50","EimNoTotal_50"
"24",49811771,"49811771-2012-06-19",10,20,"2012-06-19","HA1",2012,"F","Adult",0,0,1,7.14285714285714,1,2,1,0.666666666666667,3,3.95490002978454,2.89389288829474,0,3,0,3,1,2,1,0.666666666666667,3,3.95490002978454,2.89389288829474,0,3,0,3,1,2,2,0.5,4,3.95490002978454,2.62449604449644,0,4,0,4,0.923076923076923,3,3,0.5,6.5,5.27908600462015,3.5124926328398,0,6,0,6.5,0.857142857142857,3,4,0.428571428571429,8.16666666666667,5.27908600462015,3.36330005548447,0,7,0,8.16666666666667,0.8,3,5,0.375,10,5.27908600462015,3.23470230378474,0,8,0,10,0.758620689655172,3,5,0.375,10.5454545454545,5.27908600462015,3.23470230378474,0,8,0,10.5454545454545,0.702702702702703,4,6,0.4,14.2307692307692,5.29947110189378,3.04085323934956,0,10,0,14.2307692307692,0.644444444444444,5,6,0.454545454545455,17.0689655172414,5.32413559042894,2.97381604069142,0,11,0,17.0689655172414,0.63265306122449,6,7,0.461538461538462,20.5483870967742,5.40435946805526,2.89196765204324,0,13,0,20.5483870967742
"25",66865371,"66865371-2012-06-19",10,10,"2012-06-19","HA1",2012,"M","Adult",0,0,0,0,1,1,2,0.333333333333333,3,3.53611669956152,2.49412330489292,0,3,0,3,1,2,3,0.4,5,3.95490002978454,2.41930936730219,0,5,0,5,1,2,3,0.4,5,3.95490002978454,2.41930936730219,0,5,0,5,0.846153846153846,2,3,0.4,5.90909090909091,3.95490002978454,2.41930936730219,0,5,0,5.90909090909091,0.714285714285714,2,3,0.4,7,3.95490002978454,2.41930936730219,0,5,0,7,0.64,2,3,0.4,7.8125,3.95490002978454,2.41930936730219,0,5,0,7.8125,0.620689655172414,3,3,0.5,9.66666666666667,5.27908600462015,3.5124926328398,0,6,0,9.66666666666667,0.594594594594595,3,4,0.428571428571429,11.7727272727273,5.27908600462015,3.36330005548447,0,7,0,11.7727272727273,0.533333333333333,3,5,0.375,15,5.27908600462015,3.23470230378474,0,8,0,15,0.530612244897959,5,6,0.454545454545455,20.7307692307692,5.32413559042894,2.97381604069142,0,11,0,20.7307692307692
"28",52842550,"52842550-2012-06-19",50,80,"2012-06-19","HA1",2012,"F","Adult",0,0,1,42.8571428571429,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1.41706601978664,1.41706601978664,0,1,0,1,1,2,1,0.666666666666667,3,2.67206562531373,1.70291778711248,0,3,0,3,1,4,2,0.666666666666667,6,3.85356112477395,2.16257005491437,0,6,0,6,1,4,3,0.571428571428571,7,3.85356112477395,2.02740943536129,0,7,0,7,0.96551724137931,5,3,0.625,8.28571428571428,6.57064116334356,4.50095814445324,0,8,0,8.28571428571428,0.918918918918919,6,4,0.6,10.8823529411765,6.5762854022691,4.28615949788657,0,10,0,10.8823529411765,0.888888888888889,7,4,0.636363636363636,12.375,6.61573938818065,4.23114648816945,0,11,0,12.375,0.877551020408163,12,7,0.631578947368421,21.6511627906977,6.85639155473058,3.93072398793762,0,19,0,21.6511627906977
"29",67126571,"67126571-2012-06-19",60,60,"2012-06-19","HA1",2012,"F","NotAdult",0,0,0,0,1,1,1,0.5,2,1.41706601978664,0.940983344464527,0,2,0,2,1,1,1,0.5,2,1.41706601978664,0.940983344464527,0,2,0,2,1,1,1,0.5,2,1.41706601978664,0.940983344464527,0,2,0,2,1,1,1,0.5,2,1.41706601978664,0.940983344464527,0,2,0,2,1,1,3,0.25,4,1.41706601978664,0.577315365034824,0,4,0,4,1,1,3,0.25,4,1.41706601978664,0.577315365034824,0,4,0,4,1,3,3,0.5,6,2.91832364010036,1.36567624553447,0,6,0,6,1,5,4,0.555555555555556,9,6.55753337929916,4.37159987697661,1,8,0.111111111111111,9,1,5,5,0.5,10,6.55753337929916,4.26764182366655,1,9,0.1,10,1,10,9,0.526315789473684,19,6.83419459303462,3.90894433644433,1,18,0.0526315789473684,19
"31",66883112,"66883112-2012-06-19",80,100,"2012-06-19","HA1",2012,"F","Adult",0,0,0,0,1,2,1,0.666666666666667,3,6.52878809210977,5.43309309421266,0,3,0,3,0.8,2,1,0.666666666666667,3.75,6.52878809210977,5.43309309421266,0,3,0,3.75,0.666666666666667,2,2,0.5,6,6.52878809210977,5.14686648187138,0,4,0,6,0.692307692307692,2,2,0.5,5.77777777777778,6.52878809210977,5.14686648187138,0,4,0,5.77777777777778,0.619047619047619,3,2,0.6,8.07692307692308,6.58951120059989,4.98555707173316,0,5,0,8.07692307692308,0.6,3,2,0.6,8.33333333333333,6.58951120059989,4.98555707173316,0,5,0,8.33333333333333,0.586206896551724,3,2,0.6,8.52941176470588,6.58951120059989,4.98555707173316,0,5,0,8.52941176470588,0.540540540540541,3,2,0.6,9.25,6.58951120059989,4.98555707173316,0,5,0,9.25,0.511111111111111,3,2,0.6,9.78260869565217,6.58951120059989,4.98555707173316,0,5,0,9.78260869565217,0.510204081632653,5,3,0.625,15.68,6.61518084731203,4.54507470213771,0,8,0,15.68
"32",66878865,"66878865-2012-06-19",80,80,"2012-06-19","HA1",2012,"M","Adult",0,0,1,6.97674418604651,1,1,1,0.5,2,6.50378904699771,5.81213849929382,0,2,0,2,1,1,1,0.5,2,6.50378904699771,5.81213849929382,0,2,0,2,1,2,1,0.666666666666667,3,6.566002457917,5.47020103979189,0,3,0,3,1,3,2,0.6,5,6.58951120059989,4.98555707173316,0,5,0,5,1,3,3,0.5,6,6.58951120059989,4.8046017749491,0,6,0,6,1,3,3,0.5,6,6.58951120059989,4.8046017749491,0,6,0,6,0.931034482758621,3,3,0.5,6.44444444444444,6.58951120059989,4.8046017749491,0,6,0,6.44444444444444,0.837837837837838,4,3,0.571428571428571,8.35483870967742,6.59379797348847,4.65606726914546,0,7,0,8.35483870967742,0.777777777777778,4,3,0.571428571428571,9,6.59379797348847,4.65606726914546,0,7,0,9,0.755102040816326,5,3,0.625,10.5945945945946,6.61994660742928,4.54979628339536,1,7,0.125,10.5945945945946
"34",67259597,"67259597-2012-06-19",100,30,"2012-06-19","HA1",2012,"F","Adult",0,0,0,0,1,0,3,0,3,0,0,0,3,0,3,0.8,0,3,0,3.75,0,0,0,3,0,3.75,0.666666666666667,2,3,0.4,7.5,5.09504985629851,3.50982444573768,2,3,0.4,7.5,0.692307692307692,3,3,0.5,8.66666666666667,5.5432994081451,3.77091891262422,3,3,0.5,8.66666666666667,0.619047619047619,3,3,0.5,9.69230769230769,5.5432994081451,3.77091891262422,3,3,0.5,9.69230769230769,0.6,3,3,0.5,10,5.5432994081451,3.77091891262422,3,3,0.5,10,0.620689655172414,3,3,0.5,9.66666666666667,5.5432994081451,3.77091891262422,3,3,0.5,9.66666666666667,0.594594594594595,3,3,0.5,10.0909090909091,5.5432994081451,3.77091891262422,3,3,0.5,10.0909090909091,0.577777777777778,3,3,0.5,10.3846153846154,5.5432994081451,3.77091891262422,3,3,0.5,10.3846153846154,0.571428571428571,4,4,0.5,14,5.69835717339339,3.64210493706303,3,5,0.375,14
"36",49847790,"49847790-2012-06-20",10,100,"2012-06-20","HA1",2012,"F","Adult",0,0,1,21.2121212121212,1,2,0,1,2,2.5111656618514,1.89606556501196,0,2,0,2,0.8,2,0,1,2.5,2.5111656618514,1.89606556501196,0,2,0,2.5,0.666666666666667,4,0,1,6,4.04300994038733,2.70801094006791,0,4,0,6,0.615384615384615,4,0,1,6.5,4.04300994038733,2.70801094006791,0,4,0,6.5,0.523809523809524,4,0,1,7.63636363636364,4.04300994038733,2.70801094006791,0,4,0,7.63636363636364,0.48,4,0,1,8.33333333333333,4.04300994038733,2.70801094006791,0,4,0,8.33333333333333,0.482758620689655,4,0,1,8.28571428571428,4.04300994038733,2.70801094006791,0,4,0,8.28571428571428,0.459459459459459,5,0,1,10.8823529411765,4.2097911218562,2.65805391744849,0,5,0,10.8823529411765,0.422222222222222,6,0,1,14.2105263157895,4.28141139749654,2.5564837788193,0,6,0,14.2105263157895,0.428571428571429,8,2,0.8,23.3333333333333,4.88539304734547,2.64860073164729,0,10,0,23.3333333333333
"37",67010314,"67010314-2012-06-21",10,70,"2012-06-21","HA1",2012,"M","Adult",0,0,1,12.5,1,2,0,1,2,3.55216840857203,2.88728056532649,0,2,0,2,1,4,1,0.8,5,4.0167454438038,2.47687646271191,0,5,0,5,1,7,2,0.777777777777778,9,4.34619512944822,2.24759171638117,0,9,0,9,0.923076923076923,7,2,0.777777777777778,9.75,4.34619512944822,2.24759171638117,0,9,0,9.75,0.857142857142857,8,2,0.8,11.6666666666667,4.39721854553337,2.19971737398494,0,10,0,11.6666666666667,0.8,10,2,0.833333333333333,15,4.68206000542266,2.29415220535338,0,12,0,15,0.793103448275862,11,4,0.733333333333333,18.9130434782609,5.52939856454617,2.87541719120931,1,14,0.0666666666666667,18.9130434782609,0.783783783783784,12,6,0.666666666666667,22.9655172413793,5.59017240261725,2.7613514519494,1,17,0.0555555555555556,22.9655172413793,0.733333333333333,12,6,0.666666666666667,24.5454545454545,5.59017240261725,2.7613514519494,1,17,0.0555555555555556,24.5454545454545,0.714285714285714,15,8,0.652173913043478,32.2,5.77115068224696,2.70196442174703,1,22,0.0434782608695652,32.2
"39",66811012,"66811012-2012-06-21",90,70,"2012-06-21","HA1",2012,"F","Adult",0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,2,2,0.5,4,3.92856319997294,2.59960877845382,0,4,0,4,1,2,2,0.5,4,3.92856319997294,2.59960877845382,0,4,0,4,0.923076923076923,3,3,0.5,6.5,6.57577371935453,4.79095871713866,0,6,0,6.5,0.857142857142857,3,4,0.428571428571429,8.16666666666667,6.57577371935453,4.63819116233709,0,7,0,8.16666666666667,0.8,3,4,0.428571428571429,8.75,6.57577371935453,4.63819116233709,0,7,0,8.75,0.793103448275862,3,7,0.3,12.6086956521739,6.57577371935453,4.28565415217685,0,10,0,12.6086956521739,0.783783783783784,4,8,0.333333333333333,15.3103448275862,6.59905651108997,4.12901696961291,0,12,0,15.3103448275862,0.733333333333333,4,9,0.307692307692308,17.7272727272727,6.59905651108997,4.05031492090062,0,13,0,17.7272727272727,0.714285714285714,7,14,0.333333333333333,29.4,6.68428535407308,3.66446349053908,1,20,0.0476190476190476,29.4
