"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","EhungINF","HpolINF","H.poly.EPG","PropOnGrid_10","NemNoInf_10","NemNoUninf_10","NemPrev_10","NemNoTotal_10","NemTotBurden_10","NemMeanBurden_10","EimNoInf_10","EimNoUninf_10","EimPrev_10","EimNoTotal_10","PropOnGrid_14.1","NemNoInf_14.1","NemNoUninf_14.1","NemPrev_14.1","NemNoTotal_14.1","NemTotBurden_14.1","NemMeanBurden_14.1","EimNoInf_14.1","EimNoUninf_14.1","EimPrev_14.1","EimNoTotal_14.1","PropOnGrid_20","NemNoInf_20","NemNoUninf_20","NemPrev_20","NemNoTotal_20","NemTotBurden_20","NemMeanBurden_20","EimNoInf_20","EimNoUninf_20","EimPrev_20","EimNoTotal_20","PropOnGrid_22.4","NemNoInf_22.4","NemNoUninf_22.4","NemPrev_22.4","NemNoTotal_22.4","NemTotBurden_22.4","NemMeanBurden_22.4","EimNoInf_22.4","EimNoUninf_22.4","EimPrev_22.4","EimNoTotal_22.4","PropOnGrid_28.3","NemNoInf_28.3","NemNoUninf_28.3","NemPrev_28.3","NemNoTotal_28.3","NemTotBurden_28.3","NemMeanBurden_28.3","EimNoInf_28.3","EimNoUninf_28.3","EimPrev_28.3","EimNoTotal_28.3","PropOnGrid_30","NemNoInf_30","NemNoUninf_30","NemPrev_30","NemNoTotal_30","NemTotBurden_30","NemMeanBurden_30","EimNoInf_30","EimNoUninf_30","EimPrev_30","EimNoTotal_30","PropOnGrid_31.6","NemNoInf_31.6","NemNoUninf_31.6","NemPrev_31.6","NemNoTotal_31.6","NemTotBurden_31.6","NemMeanBurden_31.6","EimNoInf_31.6","EimNoUninf_31.6","EimPrev_31.6","EimNoTotal_31.6","PropOnGrid_36.1","NemNoInf_36.1","NemNoUninf_36.1","NemPrev_36.1","NemNoTotal_36.1","NemTotBurden_36.1","NemMeanBurden_36.1","EimNoInf_36.1","EimNoUninf_36.1","EimPrev_36.1","EimNoTotal_36.1","PropOnGrid_40","NemNoInf_40","NemNoUninf_40","NemPrev_40","NemNoTotal_40","NemTotBurden_40","NemMeanBurden_40","EimNoInf_40","EimNoUninf_40","EimPrev_40","EimNoTotal_40","PropOnGrid_50","NemNoInf_50","NemNoUninf_50","NemPrev_50","NemNoTotal_50","NemTotBurden_50","NemMeanBurden_50","EimNoInf_50","EimNoUninf_50","EimPrev_50","EimNoTotal_50"
"347",66872112,"66872112-2012-11-06",0,40,"2012-11-06","HA1",2012,"M","Adult",0,0,0,0,1,5,15,0.25,20,4.47621004642405,1.67616996589088,3,17,0.15,20,0.8,5,24,0.172413793103448,36.25,4.47621004642405,1.38543968782634,4,25,0.137931034482759,36.25,0.666666666666667,10,40,0.2,75,5.6342764924075,1.88359807201532,5,45,0.1,75,0.692307692307692,15,58,0.205479452054795,105.444444444444,5.73792867034106,1.65606202955147,9,64,0.123287671232877,105.444444444444,0.619047619047619,16,72,0.181818181818182,142.153846153846,5.74910355858239,1.51639798607817,12,76,0.136363636363636,142.153846153846,0.6,16,92,0.148148148148148,180,5.74910355858239,1.36028574708644,15,93,0.138888888888889,180,0.620689655172414,26,113,0.18705035971223,223.944444444444,6.42232770509764,1.69016748587008,21,118,0.151079136690647,223.944444444444,0.594594594594595,30,134,0.182926829268293,275.818181818182,6.46448362787925,1.59089236989463,29,135,0.176829268292683,275.818181818182,0.577777777777778,33,151,0.179347826086957,318.461538461539,6.49595929151701,1.52494440519049,31,153,0.168478260869565,318.461538461539,0.591836734693878,42,214,0.1640625,432.551724137931,6.96662749822787,1.63690084780773,40,216,0.15625,432.551724137931
"350",79797793,"79797793-2012-11-06",20,0,"2012-11-06","HA1",2012,"F","Adult",0,0,0,0,1,5,25,0.166666666666667,30,3.38382402766661,0.667543875000471,3,27,0.1,30,0.8,6,37,0.13953488372093,53.75,4.14021991274974,0.891012366013314,4,39,0.0930232558139535,53.75,0.666666666666667,9,52,0.147540983606557,91.5,4.28901083550352,0.778680424522983,5,56,0.0819672131147541,91.5,0.692307692307692,12,70,0.146341463414634,118.444444444444,4.67572102896942,0.831369830455965,6,76,0.0731707317073171,118.444444444444,0.619047619047619,14,84,0.142857142857143,158.307692307692,6.0016980656777,1.63186698763131,6,92,0.0612244897959184,158.307692307692,0.6,15,91,0.141509433962264,176.666666666667,6.01614929864218,1.58072154824012,8,98,0.0754716981132075,176.666666666667,0.586206896551724,15,101,0.129310344827586,197.882352941176,6.01614929864218,1.50980193238001,9,107,0.0775862068965517,197.882352941176,0.540540540540541,19,109,0.1484375,236.8,6.11910047031719,1.51350454723302,10,118,0.078125,236.8,0.511111111111111,20,114,0.149253731343284,262.173913043478,6.39435252756974,1.69719687756613,10,124,0.0746268656716418,262.173913043478,0.510204081632653,25,161,0.134408602150538,364.56,6.48081149793948,1.50467486948402,21,165,0.112903225806452,364.56
"356",79792086,"79792086-2012-10-25",100,10,"2012-10-25","HA1",2012,"F","NotAdult",100,1,0,0,1,5,19,0.208333333333333,24,5.64998094002049,2.54972523354698,6,18,0.25,24,0.8,6,21,0.222222222222222,33.75,5.66341940652215,2.45397705401275,6,21,0.222222222222222,33.75,0.666666666666667,8,30,0.210526315789474,57,5.72757422703484,2.20370386364232,7,31,0.184210526315789,57,0.615384615384615,11,43,0.203703703703704,87.75,5.90912506891658,2.05455978299799,9,45,0.166666666666667,87.75,0.523809523809524,13,45,0.224137931034483,110.727272727273,5.96767297276484,2.04344732684155,10,48,0.172413793103448,110.727272727273,0.48,15,53,0.220588235294118,141.666666666667,6.20444363821647,2.11189362662143,11,57,0.161764705882353,141.666666666667,0.482758620689655,15,66,0.185185185185185,167.785714285714,6.20444363821647,1.95982264072344,13,68,0.160493827160494,167.785714285714,0.459459459459459,17,70,0.195402298850575,189.352941176471,6.21449511537797,1.90731526980681,13,74,0.149425287356322,189.352941176471,0.422222222222222,18,72,0.2,213.157894736842,6.22496759221777,1.88741751707786,15,75,0.166666666666667,213.157894736842,0.428571428571429,23,96,0.19327731092437,277.666666666667,6.39371263987957,1.79465847345463,20,99,0.168067226890756,277.666666666667
"357",79782524,"79782524-2012-10-24",40,100,"2012-10-24","HA1",2012,"F","Adult",0,0,0,0,1,4,23,0.148148148148148,27,3.34846503104698,0.701611559995599,7,20,0.259259259259259,27,0.8,4,27,0.129032258064516,38.75,3.34846503104698,0.634338729764628,8,23,0.258064516129032,38.75,0.666666666666667,5,42,0.106382978723404,70.5,3.59618879119716,0.562153797210415,11,36,0.234042553191489,70.5,0.692307692307692,9,47,0.160714285714286,80.8888888888889,4.7235544588506,1.09603551642211,13,43,0.232142857142857,80.8888888888889,0.619047619047619,9,52,0.147540983606557,98.5384615384615,4.7235544588506,1.03991552451731,13,48,0.213114754098361,98.5384615384615,0.6,11,62,0.150684931506849,121.666666666667,5.01516627492296,1.11528166248941,14,59,0.191780821917808,121.666666666667,0.620689655172414,18,78,0.1875,154.666666666667,5.27125865079508,1.1043624549813,18,78,0.1875,154.666666666667,0.594594594594595,21,94,0.182608695652174,193.409090909091,5.48998019872711,1.13070736784062,23,92,0.2,193.409090909091,0.577777777777778,25,109,0.186567164179104,231.923076923077,5.63490977366839,1.12568926611137,26,108,0.194029850746269,231.923076923077,0.591836734693878,38,179,0.175115207373272,366.655172413793,7.02563508274147,1.8213547116683,42,175,0.193548387096774,366.655172413793
"359",79797884,"79797884-2012-10-24",30,80,"2012-10-24","HA1",2012,"M","Adult",0,0,0,0,1,2,6,0.25,8,2.69416108894154,1.00215202248055,1,7,0.125,8,1,3,14,0.176470588235294,17,3.42729075089003,1.01252248579218,3,14,0.176470588235294,17,1,7,39,0.152173913043478,46,4.79490346996908,1.28269986630411,15,31,0.326086956521739,46,1,19,74,0.204301075268817,93,5.73007530909885,1.45884620912423,27,66,0.290322580645161,93,1,26,85,0.234234234234234,111,5.8574426179135,1.42132307571657,30,81,0.27027027027027,111,1,30,95,0.24,125,5.99077524288457,1.43265180350903,30,95,0.24,125,0.96551724137931,33,122,0.212903225806452,160.535714285714,6.07100206656831,1.33179469876516,34,121,0.219354838709677,160.535714285714,0.918918918918919,36,149,0.194594594594595,201.323529411765,6.15029103990486,1.2609974232415,40,145,0.216216216216216,201.323529411765,0.888888888888889,36,157,0.186528497409326,217.125,6.15029103990486,1.23084247989297,41,152,0.212435233160622,217.125,0.857142857142857,47,213,0.180769230769231,303.333333333333,6.69398274965148,1.41148596175513,51,209,0.196153846153846,303.333333333333
"362",79789358,"79789358-2012-10-24",0,60,"2012-10-24","HA1",2012,"M","Adult",50,1,1,7.69230769230769,1,7,12,0.368421052631579,19,4.68998741142924,1.89858057173639,4,15,0.210526315789474,19,0.8,11,21,0.34375,40,5.51414526898198,2.16611281354092,8,24,0.25,40,0.666666666666667,13,37,0.26,75,5.57379086412389,1.83236012505123,11,39,0.22,75,0.692307692307692,16,58,0.216216216216216,106.888888888889,5.7489957215183,1.6540372836906,19,55,0.256756756756757,106.888888888889,0.619047619047619,17,64,0.209876543209877,130.846153846154,6.1265968408222,1.893177564036,19,62,0.234567901234568,130.846153846154,0.6,18,80,0.183673469387755,163.333333333333,6.13604769625026,1.74158103800958,21,77,0.214285714285714,163.333333333333,0.620689655172414,27,95,0.221311475409836,196.555555555556,6.27296820581195,1.67456284635477,24,98,0.19672131147541,196.555555555556,0.594594594594595,27,106,0.203007518796992,223.681818181818,6.27296820581195,1.60498944289704,26,107,0.195488721804511,223.681818181818,0.577777777777778,30,123,0.196078431372549,264.807692307692,6.3571894180765,1.56071911939039,28,125,0.183006535947712,264.807692307692,0.591836734693878,38,183,0.171945701357466,373.413793103448,6.50483404682783,1.39121970365148,40,181,0.180995475113122,373.413793103448
"365",79797793,"79797793-2012-11-20",0,10,"2012-11-20","HA1",2012,"F","Adult",0,0,0,0,1,4,37,0.0975609756097561,41,4.11009291919024,0.901076863238327,3,38,0.0731707317073171,41,0.8,7,52,0.11864406779661,73.75,4.40473325180752,0.862942231380877,3,56,0.0508474576271186,73.75,0.666666666666667,13,63,0.171052631578947,114,4.68096774411441,0.878066330564969,6,70,0.0789473684210526,114,0.615384615384615,15,81,0.15625,156,4.87678194671149,0.857105634400611,7,89,0.0729166666666667,156,0.523809523809524,16,84,0.16,190.909090909091,4.92063839709553,0.859043339310842,8,92,0.08,190.909090909091,0.48,16,96,0.142857142857143,233.333333333333,4.92063839709553,0.795293128161694,9,103,0.0803571428571429,233.333333333333,0.482758620689655,17,115,0.128787878787879,273.428571428571,4.9603636442211,0.729032130584171,12,120,0.0909090909090909,273.428571428571,0.459459459459459,18,122,0.128571428571429,304.705882352941,5.65824681441526,1.11196479052878,12,128,0.0857142857142857,304.705882352941,0.422222222222222,22,122,0.152777777777778,341.052631578947,5.94496237674515,1.29325156559404,12,132,0.0833333333333333,341.052631578947,0.428571428571429,32,156,0.170212765957447,438.666666666667,6.69405514362208,1.66588914847359,17,171,0.0904255319148936,438.666666666667
"366",66872112,"66872112-2012-11-20",0,60,"2012-11-20","HA1",2012,"M","Adult",0,0,0,0,1,9,14,0.391304347826087,23,5.2106373144217,2.18854344895473,6,17,0.260869565217391,23,0.8,14,26,0.35,50,5.88887317759167,2.30258077837611,11,29,0.275,50,0.666666666666667,16,45,0.262295081967213,91.5,5.93025740976274,1.96734470878133,15,46,0.245901639344262,91.5,0.692307692307692,19,71,0.211111111111111,130,6.05607133914091,1.7457073797847,24,66,0.266666666666667,130,0.619047619047619,20,78,0.204081632653061,158.307692307692,6.34685631213332,1.91886519679583,24,74,0.244897959183673,158.307692307692,0.6,23,96,0.19327731092437,198.333333333333,6.37371919590233,1.77798733455271,27,92,0.226890756302521,198.333333333333,0.620689655172414,34,115,0.228187919463087,240.055555555556,6.57414382216369,1.7580107108994,30,119,0.201342281879195,240.055555555556,0.594594594594595,35,127,0.216049382716049,272.454545454545,6.5823220574673,1.69597165247614,32,130,0.197530864197531,272.454545454545,0.577777777777778,38,146,0.206521739130435,318.461538461539,6.644817198113,1.64340813783267,34,150,0.184782608695652,318.461538461539,0.591836734693878,48,224,0.176470588235294,459.586206896552,6.76320681151052,1.42982999422102,49,223,0.180147058823529,459.586206896552
"367",79623797,"79623797-2012-11-20",0,90,"2012-11-20","HA1",2012,"M","Adult",0,0,1,11.1111111111111,1,6,27,0.181818181818182,33,3.73764225143987,0.807541999296803,4,29,0.121212121212121,33,0.8,8,41,0.163265306122449,61.25,4.52287343087479,1.05053516100851,9,40,0.183673469387755,61.25,0.666666666666667,8,48,0.142857142857143,84,4.52287343087479,0.965759989960244,12,44,0.214285714285714,84,0.615384615384615,14,65,0.177215189873418,128.375,5.62721581932825,1.50516639852628,18,61,0.227848101265823,128.375,0.523809523809524,15,72,0.172413793103448,166.090909090909,5.68319653403935,1.47396664537216,20,67,0.229885057471264,166.090909090909,0.48,19,80,0.191919191919192,206.25,5.79000902828783,1.45700691045268,22,77,0.222222222222222,206.25,0.482758620689655,24,98,0.19672131147541,252.714285714286,6.03971228995977,1.48897715623357,29,93,0.237704918032787,252.714285714286,0.459459459459459,27,107,0.201492537313433,291.647058823529,6.08005611743301,1.44789080268784,32,102,0.238805970149254,291.647058823529,0.422222222222222,30,111,0.212765957446809,333.947368421053,6.24232294720569,1.53442580506438,34,107,0.24113475177305,333.947368421053,0.428571428571429,36,152,0.191489361702128,438.666666666667,6.43749544853917,1.46286118395219,42,146,0.223404255319149,438.666666666667
"368",67259552,"67259552-2012-11-07",0,10,"2012-11-07","HA1",2012,"F","Adult",0,0,0,0,1,4,33,0.108108108108108,37,4.11009291919024,0.963302027302766,2,35,0.0540540540540541,37,0.8,7,46,0.132075471698113,66.25,4.40473325180752,0.926333044126233,2,51,0.0377358490566038,66.25,0.666666666666667,12,57,0.173913043478261,103.5,4.60057045917257,0.887122091653583,5,64,0.072463768115942,103.5,0.615384615384615,13,74,0.149425287356322,141.375,4.72627584588554,0.82676543603681,6,81,0.0689655172413793,141.375,0.523809523809524,14,77,0.153846153846154,173.727272727273,4.77707745052922,0.830310287093924,7,84,0.0769230769230769,173.727272727273,0.48,14,88,0.137254901960784,212.5,4.77707745052922,0.767548529847135,8,94,0.0784313725490196,212.5,0.482758620689655,15,106,0.12396694214876,250.642857142857,4.82279715211034,0.702656883308903,11,110,0.0909090909090909,250.642857142857,0.459459459459459,16,113,0.124031007751938,280.764705882353,5.59215169526102,1.12239019654396,11,118,0.0852713178294574,280.764705882353,0.422222222222222,20,113,0.150375939849624,315,5.89575635914511,1.31520139835319,11,122,0.0827067669172932,315,0.428571428571429,30,143,0.173410404624277,403.666666666667,6.67109222872536,1.7149503990886,16,157,0.092485549132948,403.666666666667
