"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","EhungINF","HpolINF","H.poly.EPG","PropOnGrid_10","NemNoInf_10","NemNoUninf_10","NemPrev_10","NemNoTotal_10","NemTotBurden_10","NemMeanBurden_10","EimNoInf_10","EimNoUninf_10","EimPrev_10","EimNoTotal_10","PropOnGrid_14.1","NemNoInf_14.1","NemNoUninf_14.1","NemPrev_14.1","NemNoTotal_14.1","NemTotBurden_14.1","NemMeanBurden_14.1","EimNoInf_14.1","EimNoUninf_14.1","EimPrev_14.1","EimNoTotal_14.1","PropOnGrid_20","NemNoInf_20","NemNoUninf_20","NemPrev_20","NemNoTotal_20","NemTotBurden_20","NemMeanBurden_20","EimNoInf_20","EimNoUninf_20","EimPrev_20","EimNoTotal_20","PropOnGrid_22.4","NemNoInf_22.4","NemNoUninf_22.4","NemPrev_22.4","NemNoTotal_22.4","NemTotBurden_22.4","NemMeanBurden_22.4","EimNoInf_22.4","EimNoUninf_22.4","EimPrev_22.4","EimNoTotal_22.4","PropOnGrid_28.3","NemNoInf_28.3","NemNoUninf_28.3","NemPrev_28.3","NemNoTotal_28.3","NemTotBurden_28.3","NemMeanBurden_28.3","EimNoInf_28.3","EimNoUninf_28.3","EimPrev_28.3","EimNoTotal_28.3","PropOnGrid_30","NemNoInf_30","NemNoUninf_30","NemPrev_30","NemNoTotal_30","NemTotBurden_30","NemMeanBurden_30","EimNoInf_30","EimNoUninf_30","EimPrev_30","EimNoTotal_30","PropOnGrid_31.6","NemNoInf_31.6","NemNoUninf_31.6","NemPrev_31.6","NemNoTotal_31.6","NemTotBurden_31.6","NemMeanBurden_31.6","EimNoInf_31.6","EimNoUninf_31.6","EimPrev_31.6","EimNoTotal_31.6","PropOnGrid_36.1","NemNoInf_36.1","NemNoUninf_36.1","NemPrev_36.1","NemNoTotal_36.1","NemTotBurden_36.1","NemMeanBurden_36.1","EimNoInf_36.1","EimNoUninf_36.1","EimPrev_36.1","EimNoTotal_36.1","PropOnGrid_40","NemNoInf_40","NemNoUninf_40","NemPrev_40","NemNoTotal_40","NemTotBurden_40","NemMeanBurden_40","EimNoInf_40","EimNoUninf_40","EimPrev_40","EimNoTotal_40","PropOnGrid_50","NemNoInf_50","NemNoUninf_50","NemPrev_50","NemNoTotal_50","NemTotBurden_50","NemMeanBurden_50","EimNoInf_50","EimNoUninf_50","EimPrev_50","EimNoTotal_50"
"150",66810301,"66810301-2012-08-30",10,100,"2012-08-30","HA1",2012,"M","Adult",0,0,0,0,1,0,3,0,3,0,0,1,2,0.333333333333333,3,0.8,0,5,0,6.25,0,0,1,4,0.2,6.25,0.666666666666667,0,8,0,12,0,0,2,6,0.25,12,0.615384615384615,0,11,0,17.875,0,0,2,9,0.181818181818182,17.875,0.523809523809524,0,11,0,21,0,0,2,9,0.181818181818182,21,0.48,2,14,0.125,33.3333333333333,4.82011863281445,2.16173986205344,3,13,0.1875,33.3333333333333,0.482758620689655,2,16,0.111111111111111,37.2857142857143,4.82011863281445,2.05824484547789,4,14,0.222222222222222,37.2857142857143,0.459459459459459,2,16,0.111111111111111,39.1764705882353,4.82011863281445,2.05824484547789,4,14,0.222222222222222,39.1764705882353,0.422222222222222,5,18,0.217391304347826,54.4736842105263,4.89856801646151,1.91498734274472,5,18,0.217391304347826,54.4736842105263,0.428571428571429,5,23,0.178571428571429,65.3333333333333,4.89856801646151,1.74980598505718,6,22,0.214285714285714,65.3333333333333
"152",79623797,"79623797-2012-08-30",10,40,"2012-08-30","HA1",2012,"M","Adult",0,0,0,0,1,0,5,0,5,0,0,0,5,0,5,1,1,7,0.125,8,3.96296139813587,2.00843050603665,0,8,0,8,1,2,8,0.2,10,4.02644357812116,1.87274295097141,1,9,0.1,10,0.923076923076923,4,13,0.235294117647059,18.4166666666667,4.50149811276192,1.83165951586173,1,16,0.0588235294117647,18.4166666666667,0.857142857142857,4,14,0.222222222222222,21,4.50149811276192,1.78387745220296,1,17,0.0555555555555556,21,0.8,6,17,0.260869565217391,28.75,5.36191115793731,2.32465235848735,2,21,0.0869565217391304,28.75,0.793103448275862,6,27,0.181818181818182,41.6086956521739,5.36191115793731,2.00528881509229,4,29,0.121212121212121,41.6086956521739,0.783783783783784,6,30,0.166666666666667,45.9310344827586,5.36191115793731,1.93044146538042,4,32,0.111111111111111,45.9310344827586,0.733333333333333,7,37,0.159090909090909,60,5.38349937895436,1.77949919766176,7,37,0.159090909090909,60,0.73469387755102,8,45,0.150943396226415,72.1388888888889,5.38952294500345,1.63219155826226,9,44,0.169811320754717,72.1388888888889
"154",67007587,"67007587-2012-08-30",10,70,"2012-08-30","HA1",2012,"M","Adult",0,0,0,0,1,3,6,0.333333333333333,9,4.84755207868867,2.71121610169331,4,5,0.444444444444444,9,1,3,9,0.25,12,4.84755207868867,2.44544421850339,4,8,0.333333333333333,12,1,3,12,0.2,15,4.84755207868867,2.24374107467509,5,10,0.333333333333333,15,0.923076923076923,4,16,0.2,21.6666666666667,5.18761470180785,2.29274169061557,5,15,0.25,21.6666666666667,0.857142857142857,6,17,0.260869565217391,26.8333333333333,5.36191115793731,2.32465235848735,5,18,0.217391304347826,26.8333333333333,0.8,6,18,0.25,30,5.36191115793731,2.28633665823995,5,19,0.208333333333333,30,0.793103448275862,6,19,0.24,31.5217391304348,5.36191115793731,2.2497406431702,5,20,0.2,31.5217391304348,0.783783783783784,6,23,0.206896551724138,37,5.36191115793731,2.11804819929128,5,24,0.172413793103448,37,0.733333333333333,6,26,0.1875,43.6363636363636,5.36191115793731,2.03197269351013,5,27,0.15625,43.6363636363636,0.714285714285714,8,36,0.181818181818182,61.6,5.39272454271188,1.78720908976955,8,36,0.181818181818182,61.6
"155",79797893,"79797893-2012-08-30",0,30,"2012-08-30","HA1",2012,"M","Adult",0,0,0,0,1,0,4,0,4,0,0,0,4,0,4,0.8,0,5,0,6.25,0,0,0,5,0,6.25,0.666666666666667,1,7,0.125,12,3.96296139813587,2.00843050603665,0,8,0,12,0.692307692307692,1,11,0.0833333333333333,17.3333333333333,3.96296139813587,1.66790968088943,0,12,0,17.3333333333333,0.619047619047619,1,16,0.0588235294117647,27.4615384615385,3.96296139813587,1.39526726665888,1,16,0.0588235294117647,27.4615384615385,0.6,1,18,0.0526315789473684,31.6666666666667,3.96296139813587,1.31277391387128,1,18,0.0526315789473684,31.6666666666667,0.620689655172414,3,22,0.12,40.2777777777778,4.10614700323896,1.22038547902682,2,23,0.08,40.2777777777778,0.594594594594595,5,27,0.15625,53.8181818181818,4.55180370160002,1.36898328349743,2,30,0.0625,53.8181818181818,0.577777777777778,5,29,0.147058823529412,58.8461538461539,4.55180370160002,1.3241314549496,3,31,0.0882352941176471,58.8461538461539,0.571428571428571,8,35,0.186046511627907,75.25,5.38952294500345,1.80369891121941,4,39,0.0930232558139535,75.25
"157",79788371,"79788371-2012-09-11",10,0,"2012-09-11","HA1",2012,"M","Adult",0,0,0,0,1,0,5,0,5,0,0,0,5,0,5,0.8,0,7,0,8.75,0,0,1,6,0.142857142857143,8.75,0.666666666666667,0,9,0,13.5,0,0,1,8,0.111111111111111,13.5,0.615384615384615,0,11,0,17.875,0,0,1,10,0.0909090909090909,17.875,0.523809523809524,0,14,0,26.7272727272727,0,0,2,12,0.142857142857143,26.7272727272727,0.48,1,15,0.0625,33.3333333333333,0.83975065475182,0.0790300493591501,2,14,0.125,33.3333333333333,0.482758620689655,1,16,0.0588235294117647,35.2142857142857,0.83975065475182,0.0745501565518178,2,15,0.117647058823529,35.2142857142857,0.459459459459459,1,17,0.0555555555555556,39.1764705882353,0.83975065475182,0.070551110991965,2,16,0.111111111111111,39.1764705882353,0.422222222222222,1,20,0.0476190476190476,49.7368421052632,0.83975065475182,0.0607720383420942,3,18,0.142857142857143,49.7368421052632,0.428571428571429,2,24,0.0769230769230769,60.6666666666667,1.71228253243241,0.160993017289617,3,23,0.115384615384615,60.6666666666667
"160",49811771,"49811771-2012-09-11",20,50,"2012-09-11","HA1",2012,"F","Adult",0,0,0,0,1,2,2,0.5,4,3.55794209666646,2.25368128600388,0,4,0,4,1,3,6,0.333333333333333,9,3.65167551468211,1.64307006755643,3,6,0.333333333333333,9,1,3,8,0.272727272727273,11,3.65167551468211,1.48447613611432,3,8,0.272727272727273,11,1,6,14,0.3,20,5.17560494192773,2.28189041936151,4,16,0.2,20,1,6,17,0.260869565217391,23,5.17560494192773,2.15732606085508,5,18,0.217391304347826,23,1,6,20,0.230769230769231,26,5.17560494192773,2.04969380941384,6,20,0.230769230769231,26,0.96551724137931,6,28,0.176470588235294,35.2142857142857,5.17560494192773,1.82028784507154,11,23,0.323529411764706,35.2142857142857,0.918918918918919,7,29,0.194444444444444,39.1764705882353,5.19367550797769,1.78772079125937,11,25,0.305555555555556,39.1764705882353,0.888888888888889,7,31,0.184210526315789,42.75,5.19367550797769,1.74290735141785,12,26,0.315789473684211,42.75,0.877551020408163,7,46,0.132075471698113,60.3953488372093,5.19367550797769,1.47700308178995,14,39,0.264150943396226,60.3953488372093
"161",79797359,"79797359-2012-09-11",20,50,"2012-09-11","HA1",2012,"F","Adult",0,0,0,0,1,2,2,0.5,4,3.55794209666646,2.25368128600388,0,4,0,4,1,3,6,0.333333333333333,9,3.65167551468211,1.64307006755643,3,6,0.333333333333333,9,1,3,8,0.272727272727273,11,3.65167551468211,1.48447613611432,3,8,0.272727272727273,11,1,6,14,0.3,20,5.17560494192773,2.28189041936151,4,16,0.2,20,1,6,17,0.260869565217391,23,5.17560494192773,2.15732606085508,5,18,0.217391304347826,23,1,6,20,0.230769230769231,26,5.17560494192773,2.04969380941384,6,20,0.230769230769231,26,0.96551724137931,6,28,0.176470588235294,35.2142857142857,5.17560494192773,1.82028784507154,11,23,0.323529411764706,35.2142857142857,0.918918918918919,7,29,0.194444444444444,39.1764705882353,5.19367550797769,1.78772079125937,11,25,0.305555555555556,39.1764705882353,0.888888888888889,7,31,0.184210526315789,42.75,5.19367550797769,1.74290735141785,12,26,0.315789473684211,42.75,0.877551020408163,7,46,0.132075471698113,60.3953488372093,5.19367550797769,1.47700308178995,14,39,0.264150943396226,60.3953488372093
"163",79797266,"79797266-2012-09-11",20,30,"2012-09-11","HA1",2012,"F","NotAdult",7880,1,0,0,1,0,3,0,3,0,0,0,3,0,3,1,0,9,0,9,0,0,2,7,0.222222222222222,9,1,0,14,0,14,0,0,3,11,0.214285714285714,14,1,2,18,0.1,20,3.55794209666646,0.994933859193268,3,17,0.15,20,1,2,19,0.0952380952380952,21,3.55794209666646,0.964462275547521,3,18,0.142857142857143,21,1,3,20,0.130434782608696,23,3.64588623811718,0.964115055733059,3,20,0.130434782608696,23,0.96551724137931,4,29,0.121212121212121,34.1785714285714,3.73205846240373,0.804376686378824,7,26,0.212121212121212,34.1785714285714,0.918918918918919,6,32,0.157894736842105,41.3529411764706,4.06843506234902,0.921177679301328,8,30,0.210526315789474,41.3529411764706,0.888888888888889,6,33,0.153846153846154,43.875,4.06843506234902,0.905622709957941,8,31,0.205128205128205,43.875,0.857142857142857,8,38,0.173913043478261,53.6666666666667,5.2009536480104,1.59386155113156,10,36,0.217391304347826,53.6666666666667
"164",67091302,"67091302-2012-09-11",20,20,"2012-09-11","HA1",2012,"F","Adult",0,0,0,0,1,0,6,0,6,0,0,2,4,0.333333333333333,6,1,0,10,0,10,0,0,2,8,0.2,10,1,0,11,0,11,0,0,2,9,0.181818181818182,11,1,0,20,0,20,0,0,3,17,0.15,20,1,1,22,0.0434782608695652,23,0.83975065475182,0.0556316959861486,3,20,0.130434782608696,23,1,1,24,0.04,25,0.83975065475182,0.0512932943875505,3,22,0.12,25,0.931034482758621,4,25,0.137931034482759,31.1481481481481,3.67964961530324,0.846792880929288,3,26,0.103448275862069,31.1481481481481,0.837837837837838,4,29,0.121212121212121,39.3870967741936,3.67964961530324,0.775041390155342,5,28,0.151515151515152,39.3870967741936,0.777777777777778,4,30,0.117647058823529,43.7142857142857,3.67964961530324,0.759052024510494,5,29,0.147058823529412,43.7142857142857,0.755102040816326,6,34,0.15,52.972972972973,4.06843506234902,0.890617950770162,8,32,0.2,52.972972972973
"166",66859820,"66859820-2012-09-11",60,50,"2012-09-11","HA1",2012,"M","Adult",0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,5,0.166666666666667,6,1.36060487500458,0.394128954321828,3,3,0.5,6,1,1,7,0.125,8,1.36060487500458,0.309188277672744,4,4,0.5,8,1,4,9,0.307692307692308,13,3.21923466291277,1.04621102742894,5,8,0.384615384615385,13,1,5,10,0.333333333333333,15,3.32741144957649,1.02642659740979,5,10,0.333333333333333,15,1,7,12,0.368421052631579,19,4.12644099162146,1.43705031752872,5,14,0.263157894736842,19,1,7,16,0.304347826086957,23,4.12644099162146,1.29481083900651,5,18,0.217391304347826,23,1,8,20,0.285714285714286,28,4.17719610542927,1.19156938786852,5,23,0.178571428571429,28,1,8,21,0.275862068965517,29,4.17719610542927,1.16726765757332,5,24,0.172413793103448,29,1,8,49,0.140350877192982,57,4.17719610542927,0.754249137024622,9,48,0.157894736842105,57
