"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","EappINF","HpolINF","H.poly.EPG","PropOnGrid_10","NemNoInf_10","NemNoUninf_10","NemPrev_10","NemNoTotal_10","NemTotBurden_10","NemMeanBurden_10","EimNoInf_10","EimNoUninf_10","EimPrev_10","EimNoTotal_10","PropOnGrid_14.1","NemNoInf_14.1","NemNoUninf_14.1","NemPrev_14.1","NemNoTotal_14.1","NemTotBurden_14.1","NemMeanBurden_14.1","EimNoInf_14.1","EimNoUninf_14.1","EimPrev_14.1","EimNoTotal_14.1","PropOnGrid_20","NemNoInf_20","NemNoUninf_20","NemPrev_20","NemNoTotal_20","NemTotBurden_20","NemMeanBurden_20","EimNoInf_20","EimNoUninf_20","EimPrev_20","EimNoTotal_20","PropOnGrid_22.4","NemNoInf_22.4","NemNoUninf_22.4","NemPrev_22.4","NemNoTotal_22.4","NemTotBurden_22.4","NemMeanBurden_22.4","EimNoInf_22.4","EimNoUninf_22.4","EimPrev_22.4","EimNoTotal_22.4","PropOnGrid_28.3","NemNoInf_28.3","NemNoUninf_28.3","NemPrev_28.3","NemNoTotal_28.3","NemTotBurden_28.3","NemMeanBurden_28.3","EimNoInf_28.3","EimNoUninf_28.3","EimPrev_28.3","EimNoTotal_28.3","PropOnGrid_30","NemNoInf_30","NemNoUninf_30","NemPrev_30","NemNoTotal_30","NemTotBurden_30","NemMeanBurden_30","EimNoInf_30","EimNoUninf_30","EimPrev_30","EimNoTotal_30","PropOnGrid_31.6","NemNoInf_31.6","NemNoUninf_31.6","NemPrev_31.6","NemNoTotal_31.6","NemTotBurden_31.6","NemMeanBurden_31.6","EimNoInf_31.6","EimNoUninf_31.6","EimPrev_31.6","EimNoTotal_31.6","PropOnGrid_36.1","NemNoInf_36.1","NemNoUninf_36.1","NemPrev_36.1","NemNoTotal_36.1","NemTotBurden_36.1","NemMeanBurden_36.1","EimNoInf_36.1","EimNoUninf_36.1","EimPrev_36.1","EimNoTotal_36.1","PropOnGrid_40","NemNoInf_40","NemNoUninf_40","NemPrev_40","NemNoTotal_40","NemTotBurden_40","NemMeanBurden_40","EimNoInf_40","EimNoUninf_40","EimPrev_40","EimNoTotal_40","PropOnGrid_50","NemNoInf_50","NemNoUninf_50","NemPrev_50","NemNoTotal_50","NemTotBurden_50","NemMeanBurden_50","EimNoInf_50","EimNoUninf_50","EimPrev_50","EimNoTotal_50"
"198",79770603,"79770603-2012-09-11",40,100,"2012-09-11","HA1",2012,"M","Adult",0,0,0,0,1,3,6,0.333333333333333,9,2.53920090127697,0.831436672708382,3,6,0.333333333333333,9,0.8,3,8,0.272727272727273,13.75,2.53920090127697,0.723127019891331,3,8,0.272727272727273,13.75,0.666666666666667,3,12,0.2,22.5,2.53920090127697,0.5754719906842,4,11,0.266666666666667,22.5,0.692307692307692,4,13,0.235294117647059,24.5555555555556,3.46004721785263,1.03419880817161,4,13,0.235294117647059,24.5555555555556,0.619047619047619,4,15,0.210526315789474,30.6923076923077,3.46004721785263,0.963946997873992,5,14,0.263157894736842,30.6923076923077,0.6,4,18,0.181818181818182,36.6666666666667,3.46004721785263,0.875818654902978,6,16,0.272727272727273,36.6666666666667,0.620689655172414,5,23,0.178571428571429,45.1111111111111,3.83090390389566,0.959681216975871,9,19,0.321428571428571,45.1111111111111,0.594594594594595,5,26,0.161290322580645,52.1363636363636,3.83090390389566,0.89811615958933,9,22,0.290322580645161,52.1363636363636,0.577777777777778,7,28,0.2,60.5769230769231,4.1979850948921,1.05532793655016,9,26,0.257142857142857,60.5769230769231,0.591836734693878,11,45,0.196428571428571,94.6206896551724,5.27749571392502,1.49961796133552,18,38,0.321428571428571,94.6206896551724
"199",66810112,"66810112-2012-09-11",50,80,"2012-09-11","HA1",2012,"M","Adult",0,0,1,2.56410256410256,1,0,3,0,3,0,0,1,2,0.333333333333333,3,1,1,4,0.2,5,3.00315149147602,1.57480241577135,2,3,0.4,5,1,3,5,0.375,8,3.28909116034076,1.44156582382597,2,6,0.25,8,1,6,13,0.315789473684211,19,4.11885518345264,1.43117725962559,6,13,0.315789473684211,19,1,7,18,0.28,25,4.16491732928516,1.26285313991734,9,16,0.36,25,1,7,20,0.259259259259259,27,4.16491732928516,1.20826756058127,10,17,0.37037037037037,27,0.96551724137931,7,26,0.212121212121212,34.1785714285714,4.16491732928516,1.07186750369322,13,20,0.393939393939394,34.1785714285714,0.918918918918919,11,30,0.268292682926829,44.6176470588235,4.7241300275631,1.31446079881578,13,28,0.317073170731707,44.6176470588235,0.888888888888889,11,39,0.22,56.25,4.7241300275631,1.17330204000365,14,36,0.28,56.25,0.877551020408163,17,64,0.209876543209877,92.3023255813954,5.51347775843388,1.39860151199017,29,52,0.358024691358025,92.3023255813954
"203",79618812,"79618812-2012-09-11",80,60,"2012-09-11","HA1",2012,"M","Adult",0,0,1,6.66666666666667,1,1,5,0.166666666666667,6,1.36060487500458,0.394128954321828,4,2,0.666666666666667,6,1,3,6,0.333333333333333,9,2.78595316066421,0.989758694418034,6,3,0.666666666666667,9,1,4,6,0.4,10,2.92933956872831,1.01939829716189,7,3,0.7,10,1,4,11,0.266666666666667,15,2.92933956872831,0.779791626179483,8,7,0.533333333333333,15,1,4,18,0.181818181818182,22,2.92933956872831,0.59069320115249,12,10,0.545454545454545,22,1,5,20,0.2,25,3.07141514282001,0.600426645464071,13,12,0.52,25,0.96551724137931,6,26,0.1875,33.1428571428571,3.57957013579866,0.736836910344197,17,15,0.53125,33.1428571428571,0.918918918918919,7,34,0.170731707317073,44.6176470588235,4.00746153299972,0.840379133506118,19,22,0.463414634146341,44.6176470588235,0.888888888888889,9,36,0.2,50.625,4.32353600285016,0.976276957888951,19,26,0.422222222222222,50.625,0.877551020408163,13,55,0.191176470588235,77.4883720930233,4.80167363293452,1.0207246799638,24,44,0.352941176470588,77.4883720930233
"205",67089554,"67089554-2012-09-25",40,90,"2012-09-25","HA1",2012,"F","Adult",82.2222222222222,1,0,0,1,1,7,0.125,8,1.79175946922805,0.485507815781701,2,6,0.25,8,1,4,14,0.222222222222222,18,2.72350648648418,0.58263903340765,4,14,0.222222222222222,18,1,4,14,0.222222222222222,18,2.72350648648418,0.58263903340765,4,14,0.222222222222222,18,0.923076923076923,4,24,0.142857142857143,30.3333333333333,2.72350648648418,0.411012674565453,8,20,0.285714285714286,30.3333333333333,0.857142857142857,4,26,0.133333333333333,35,2.72350648648418,0.388288323130762,8,22,0.266666666666667,35,0.8,5,31,0.138888888888889,45,3.42159658449953,0.600335082446213,10,26,0.277777777777778,45,0.793103448275862,5,37,0.119047619047619,52.9565217391304,3.42159658449953,0.533680460289001,11,31,0.261904761904762,52.9565217391304,0.783783783783784,7,42,0.142857142857143,62.5172413793103,5.03433918155654,1.41445560826714,14,35,0.285714285714286,62.5172413793103,0.733333333333333,7,48,0.127272727272727,75,5.03433918155654,1.3282706145596,19,36,0.345454545454545,75,0.73469387755102,12,72,0.142857142857143,114.333333333333,5.30182351772029,1.21710921752685,24,60,0.285714285714286,114.333333333333
"206",79618812,"79618812-2012-09-25",40,60,"2012-09-25","HA1",2012,"M","Adult",4.65116279069767,1,0,0,1,1,3,0.25,4,2.79634280824789,1.57818536893,2,2,0.5,4,1,3,4,0.428571428571429,7,3.92148855494283,2.08789720011751,3,4,0.428571428571429,7,1,3,7,0.3,10,3.92148855494283,1.78297978157601,3,7,0.3,10,1,4,21,0.16,25,3.97103931417164,1.12544410148361,4,21,0.16,25,1,4,25,0.137931034482759,29,3.97103931417164,1.02764242776699,5,24,0.172413793103448,29,1,6,29,0.171428571428571,35,4.08406614693174,0.981398237106004,7,28,0.2,35,1,10,40,0.2,50,5.40758450267731,1.6941174523487,11,39,0.22,50,1,10,49,0.169491525423729,59,5.40758450267731,1.56114478052242,13,46,0.220338983050847,59,1,12,55,0.17910447761194,67,5.45855828342291,1.50161574493302,14,53,0.208955223880597,67,1,17,94,0.153153153153153,111,5.55255842462998,1.19827150547209,28,83,0.252252252252252,111
"208",66855532,"66855532-2012-09-25",60,20,"2012-09-25","HA1",2012,"F","Adult",0,0,1,2.5,1,1,2,0.333333333333333,3,2.49412330489292,1.54835022045426,0,3,0,3,1,3,2,0.6,5,3.9672101426521,2.43074815925259,0,5,0,5,1,4,4,0.5,8,4.01459800742534,2.05414008174824,1,7,0.125,8,1,5,13,0.277777777777778,18,4.06488421969138,1.43055261804177,3,15,0.166666666666667,18,1,7,17,0.291666666666667,24,4.12832645582137,1.26546707680017,4,20,0.166666666666667,24,1,7,22,0.241379310344828,29,4.12832645582137,1.13333519691204,4,25,0.137931034482759,29,0.96551724137931,8,28,0.222222222222222,37.2857142857143,4.2097115015023,1.04475342876287,7,29,0.194444444444444,37.2857142857143,0.918918918918919,9,37,0.195652173913043,50.0588235294118,4.26525773739732,0.926527411725917,9,37,0.195652173913043,50.0588235294118,0.888888888888889,9,41,0.18,56.25,4.26525773739732,0.876994774021951,10,40,0.2,56.25,0.877551020408163,15,62,0.194805194805195,87.7441860465116,4.93673694724549,1.02829625627267,15,62,0.194805194805195,87.7441860465116
"211",66893321,"66893321-2012-09-25",70,70,"2012-09-25","HA1",2012,"M","Adult",0,0,0,0,1,1,1,0.5,2,1.36060487500458,0.895792210325814,1,1,0.5,2,1,2,4,0.333333333333333,6,2.3575672274114,0.953279301243496,2,4,0.333333333333333,6,1,3,8,0.272727272727273,11,2.62401793436586,0.771413087283056,5,6,0.454545454545455,11,1,4,18,0.181818181818182,22,2.79454138991308,0.529427702002147,8,14,0.363636363636364,22,1,4,21,0.16,25,2.79454138991308,0.47884261027889,10,15,0.4,25,1,4,23,0.148148148148148,27,2.79454138991308,0.450252596339843,10,17,0.37037037037037,27,1,6,36,0.142857142857143,42,3.53338701011296,0.583009954347124,18,24,0.428571428571429,42,1,8,46,0.148148148148148,54,3.71135704219822,0.553345211235547,22,32,0.407407407407407,54,1,8,46,0.148148148148148,54,3.71135704219822,0.553345211235547,22,32,0.407407407407407,54,0.959183673469388,15,67,0.182926829268293,85.4893617021277,4.85862022729757,0.939656114508028,25,57,0.304878048780488,85.4893617021277
"213",84587833,"84587833-2012-09-25",70,50,"2012-09-25","HA1",2012,"F","Adult",0,0,0,0,1,1,3,0.25,4,1.36060487500458,0.54501698851427,2,2,0.5,4,1,3,4,0.428571428571429,7,2.56995353804611,1.00195544682777,3,4,0.428571428571429,7,1,3,5,0.375,8,2.56995353804611,0.919546296333921,4,4,0.5,8,1,4,12,0.25,16,2.76772442623929,0.658890832603895,6,10,0.375,16,1,8,15,0.347826086956522,23,4.17649475599223,1.33198888072045,9,14,0.391304347826087,23,1,8,16,0.333333333333333,24,4.17649475599223,1.30084007857482,10,14,0.416666666666667,24,1,10,26,0.277777777777778,36,4.41987439849331,1.18789295534211,13,23,0.361111111111111,36,1,12,34,0.260869565217391,46,4.57224466821915,1.12550158660327,13,33,0.282608695652174,46,1,14,36,0.28,50,4.87406669772965,1.2801111280187,13,37,0.26,50,0.979591836734694,15,70,0.176470588235294,86.7708333333333,4.941234345444,0.96873976665195,23,62,0.270588235294118,86.7708333333333
"214",79632292,"79632292-2012-09-25",70,20,"2012-09-25","HA1",2012,"M","Adult",0,0,0,0,1,1,2,0.333333333333333,3,1.27091228700104,0.617723418742703,1,2,0.333333333333333,3,1,2,4,0.333333333333333,6,1.85961208973627,0.643715785204707,1,5,0.166666666666667,6,1,3,8,0.272727272727273,11,2.86404811844131,0.917466641398071,1,10,0.0909090909090909,11,1,7,11,0.388888888888889,18,4.18997773347583,1.52872569496962,2,16,0.111111111111111,18,1,8,17,0.32,25,4.24660022943031,1.32300811928503,4,21,0.16,25,1,8,20,0.285714285714286,28,4.24660022943031,1.24113929422153,5,23,0.178571428571429,28,0.96551724137931,9,25,0.264705882352941,35.2142857142857,4.36892092652376,1.19176670455506,7,27,0.205882352941176,35.2142857142857,0.918918918918919,10,30,0.25,43.5294117647059,4.38544794144174,1.09254536613408,8,32,0.2,43.5294117647059,0.888888888888889,11,34,0.244444444444444,50.625,4.42091945770798,1.03888370428999,9,36,0.2,50.625,0.857142857142857,15,51,0.227272727272727,77,4.93673694724549,1.13000776328154,14,52,0.212121212121212,77
"216",67003077,"67003077-2012-09-25",80,100,"2012-09-25","HA1",2012,"F","Adult",0,0,0,0,1,0,6,0,6,0,0,1,5,0.166666666666667,6,0.8,0,9,0,11.25,0,0,2,7,0.222222222222222,11.25,0.666666666666667,0,13,0,19.5,0,0,5,8,0.384615384615385,19.5,0.692307692307692,0,17,0,24.5555555555556,0,0,6,11,0.352941176470588,24.5555555555556,0.619047619047619,0,24,0,38.7692307692308,0,0,10,14,0.416666666666667,38.7692307692308,0.6,2,25,0.0740740740740741,45,2.03725699290192,0.220756785527036,10,17,0.37037037037037,45,0.586206896551724,3,28,0.0967741935483871,52.8823529411765,2.38833601568894,0.277029139649082,13,18,0.419354838709677,52.8823529411765,0.540540540540541,4,30,0.117647058823529,62.9,2.59968158972777,0.312219401643718,13,21,0.382352941176471,62.9,0.511111111111111,6,34,0.15,78.2608695652174,3.22390787848764,0.471972290029809,14,26,0.35,78.2608695652174,0.510204081632653,7,44,0.137254901960784,99.96,3.33308516215353,0.425199414683402,20,31,0.392156862745098,99.96
