"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-1.14034670573305,-3.80966047000905,1.56785257418958,0.109838286007329,-0.20291293673763,0.417094443753502,-3.4163806545659,-6.89901231632246,0.0364546739598038,-0.38509892588116,-2.31445604936415,1.57319311409021,0.784863052273364,-0.799452742199454,2.35869462406804,0.267341807173154,-2.11093973401279,2.6080348818711,0.548301893877721,-5.03960979969568,6.1045907488716,1.53560126644771,-4.74883622181068,7.85166869324335,5.55316989581815,3.54786522206542,7.5480565408728,0.681731703758332,1.76348305770311,0.0301367313158932
"2",14.1,-2.65165510196507,-5.46452587131544,0.125488723744701,0.0838537568619832,-0.124070689227237,0.298468789592052,-3.55796114632129,-7.22873569368467,0.0306183058072403,-0.580266341276494,-2.45925571434502,1.42282068052722,0.838799890205699,-0.753119977149435,2.3934874104356,0.321913848694975,-1.99497683355826,2.62283322346566,1.95126368876446,-3.91322720447344,7.90088080494196,3.23073692091428,-2.8465848885533,9.2131559733076,5.96695612807382,3.50524492430155,8.41746563464484,0.750338184772014,1.91586155755765,0.0341841450491337
"3",20,-3.32840025606779,-6.43841229973821,-0.224882832875544,0.0441484109071742,-0.104915961906224,0.199301330689771,-4.4251277206286,-8.7410991104835,0.0026711602443373,0.0200959077167763,-1.8044072673089,1.82421262810616,0.274494164125499,-1.32320646496726,1.83493811886771,-0.11309887440018,-2.38656624547464,2.21777072205961,1.45070743525429,-4.00719476918562,6.90853195308158,3.57826163778938,-2.89714450738301,10.0933016025689,6.59441497264197,4.17959790015611,9.05348036099228,0.659118968614328,1.6971036397752,0.0286376727481144
"4",22.4,-3.50082742443883,-7.39546028170142,0.21759479802004,0.0429834160019935,-0.0853981607792202,0.169945624176737,-4.91604460243206,-10.8162796187039,0.922365668063098,0.383357574621471,-1.57724138864518,2.38415141131964,0.31068367556757,-1.34801726871401,2.07288014320977,0.0815626796223962,-2.35138816447933,2.41670574820922,0.198407978226032,-5.81114111483723,6.19765196805905,3.20481528486525,-3.43722151178426,9.99559069398347,6.33399600131605,3.44299159884797,9.12370901002662,0.729597254559216,1.82591455184812,0.0326264056210759
"5",28.3,-3.81855725156905,-7.72413753141504,0.177749212363175,0.0124995651014407,-0.0860446078744562,0.109620037086738,-5.94526390978175,-12.4540592594203,0.454717974272058,0.472435878699832,-1.51125843585966,2.43843359892683,0.0816654288758992,-1.61121302630282,1.8742576727757,-0.170739246244425,-2.58413716889303,2.29216276866022,1.5996609988377,-4.24370990088006,7.41242417787674,2.68550456817129,-4.04311205960324,9.24059667365919,7.00787316393741,4.1400196997499,9.97700709340796,0.677515197750668,1.76594669254384,0.0308987405476182
"6",30,-3.95442656897624,-8.46464734584229,0.565508356820289,-0.00787687253743828,-0.0863332771879987,0.0701379995461068,-4.48124113714864,-11.4127623411521,2.67684071083933,0.350379870553139,-1.7664071496755,2.43338990858041,0.290341567760159,-1.43199963494793,2.0268474531265,-0.10642064428204,-2.49902448705694,2.41138628371147,2.04373182143976,-4.2997286722096,8.17803665594844,3.17469006239676,-3.77878989285334,10.1210858650432,7.05309497580683,4.04921314935263,10.0968272884042,0.718570449574219,1.90138948852719,0.0286251183896233
"7",31.6,-3.81843440616581,-8.09645498986462,0.808816162846685,-0.00231951252026534,-0.0699160919165593,0.0654348508479763,-3.91587976319626,-10.7711106057282,3.23578755204939,0.244188197476284,-1.75457101222758,2.1457977138231,0.423052422705752,-1.33273641670753,2.1984037097838,0.0517921663859518,-2.48057166072147,2.59398332271174,1.29328376322176,-4.89362376547244,7.54004204667742,3.87323460246427,-3.24558784752319,10.8899493554585,6.82285672244055,3.74248474087203,9.79082683098431,0.786273250266587,1.97696947160911,0.0270677878448107
"8",36.1,-2.74403881586491,-7.68188972808209,2.34772127014094,-0.0020087139947213,-0.064933961377684,0.0597589159180649,-3.45631072786912,-10.2171200064054,3.46461956316178,0.00639720107680021,-2.01816371190294,2.05398892449466,0.592035241935871,-1.11785039411894,2.33180333107631,0.477626123902321,-2.09136959152253,2.93178729694093,1.52975561969677,-4.56758260688369,7.63518205265744,2.73230718912129,-4.55092226160215,10.046971702269,6.41967032227169,3.39267874249733,9.49945516356716,0.774313283433778,1.97403893229137,0.0393565527255137
"9",40,-3.41203253217484,-8.55665095976737,1.74208835283944,0.00930411777817666,-0.0468928869394207,0.0635140218747933,-3.43352418891036,-10.4689397837139,3.7235418951301,0.223938112707961,-1.90329961927641,2.21732657156932,0.535972091958274,-1.20589721153482,2.35091962452701,0.39103068544222,-2.00852218485369,2.81944666990878,0.72887437820519,-5.37522397489768,6.83550803784964,3.3818384469165,-3.81232675107037,10.6707633190931,6.21387973524535,3.11093327806082,9.39032366978618,0.728701032660895,1.88442630344395,0.0302784532757349
"10",50,-2.14369950369247,-7.70766690025575,3.41184179073388,0.0126941097072877,-0.0311494244775385,0.0559694405890396,-5.4131452220149,-13.1452430471038,2.38049269325733,-0.00592774166436086,-1.92664973423087,1.97156427075268,0.647533397236115,-1.09998203224519,2.38428990847819,0.540629720646893,-1.9112349840399,3.02622333093012,0.285616193847705,-5.81171900967242,6.43850236516143,2.31523696409401,-5.41876409520336,9.89802564754351,5.92273353423567,2.7193260741235,9.21985616519095,0.718717705787376,1.83336504196783,0.0350379552441454
