"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-0.159876808724781,-0.755553380398697,0.322693947837576,0.230075387260646,0.0278662858984959,0.481391022986934,-0.373965616102002,-2.61509250161118,1.44261793249441,-0.253982983996675,-1.58321855861125,0.922847367246691,-0.756163395032914,-2.23856175691709,0.441903050934788,1.21680527375308,-0.211320790389793,2.90822488946996,-1.69834995245427,-12.6946561761726,9.56240770564971,-19.3221562660782,-31.4563986744709,-8.3406876107836,-2.86243688708095,-4.36637291580278,-1.6799757380269,1.87246351316355,3.37241285480616,0.833819940140199
"2",14.1,-0.177280702120703,-0.734950042109771,0.314281795546542,0.225097856073154,0.0889698910149722,0.389174136687414,0.574268425230364,-1.8516027710379,2.68788883843142,0.00487441522810243,-1.32861349084351,1.20509426171044,-0.777491455075418,-2.22820959265766,0.367242338230343,1.26259021363158,-0.163592464639803,2.86529763200503,-4.36232665352587,-15.9149946235623,6.8066008712765,-17.8142908178268,-30.1228318736107,-6.97477760651752,-3.59182921956116,-5.32260604800029,-2.22789367487024,1.73297936421489,3.08645995099372,0.656145890141624
"3",20,-0.0466505075176856,-0.584700836042976,0.442202359238908,0.126576331297534,0.0291477545103331,0.234114518857555,0.564981220261154,-2.0277808843,2.86428344967741,-0.108315009940884,-1.42215934626636,1.06321363578437,-0.669701295442484,-1.98377288117905,0.493354174743398,1.26554563895971,-0.185060301111023,2.88663782447058,-3.83869183209964,-15.2864671188966,7.61344663996843,-18.5799822101225,-31.109367642246,-7.51406150104256,-3.52796220766092,-5.3617046812826,-2.02886760805517,1.75763100810336,3.11029303796222,0.764067272535164
"4",22.4,0.02348116503189,-0.553624466245589,0.577391509037112,0.119715042412906,0.0381626163486162,0.222865291036908,1.49024928163637,-1.68662975614188,4.54766040137983,-0.134552545044808,-1.47818471631728,1.0565795530742,-0.675056800416349,-2.039405201726,0.508800402905381,1.38587421405197,-0.011820945828077,3.05398233571383,-5.73565176488479,-17.8613268009519,6.15076605781153,-17.468358633724,-30.1328782197832,-6.0817175585661,-4.22921154047379,-6.62322411796969,-2.52903169803593,1.75723887785868,3.13271328510781,0.687577020573121
"5",28.3,0.143574626778459,-0.433441016478028,0.691812752085743,0.0981135550891999,0.0308577911210099,0.181108698583917,1.48949404989893,-1.94450436554391,4.65679230004275,-0.215351163516881,-1.53509161252057,0.987348104990282,-0.650191858690624,-2.09980943997085,0.516959342812983,1.40636145867854,-0.0256366227183565,3.07281839891687,-5.72330767710946,-18.2661684442103,5.89605670757913,-18.0607522009424,-30.4575811738079,-6.87715660346445,-4.35915140144774,-6.7072672188811,-2.60597477051116,1.74594162343525,3.04119461910514,0.70418830105628
"6",30,0.229288667583881,-0.291776795695007,0.778614522575429,0.0737503484867818,0.0188708234119575,0.138785269154862,1.9782250682259,-1.44602271080701,5.29876688512012,-0.168713805952722,-1.51450174776466,1.0283154761972,-0.619836345597818,-1.88443172436868,0.48980831929177,1.40160129924107,0.0234404540305249,3.05010220001041,-5.04724974719614,-17.2381443700801,6.66807853971403,-18.3618187354183,-30.997085600664,-6.72498126879599,-4.39551136413475,-6.84183971266509,-2.56391274675525,1.65771394892004,2.98231617174142,0.635000556091832
"7",31.6,0.348720167302744,-0.225767322338902,0.933854643071993,0.0558777053740459,0.0111023838132458,0.106441705711873,3.08204759854648,-0.544754084598757,6.80963099168523,-0.181853741900345,-1.45531928027652,0.936395826159141,-0.617562336144086,-1.87800321362773,0.46715778040828,1.33611305792278,-0.0456591798356412,2.89752208478383,-4.38392065548113,-16.1651080052746,7.03236944515399,-18.303015555847,-30.8098573132502,-6.46730433863859,-4.59177010521998,-6.99863774364263,-2.74060969950026,1.59973567868541,2.79750958386354,0.581872650533719
"8",36.1,0.453577353429326,-0.115463473552863,1.04556807027541,0.049287002385518,0.0100662753622411,0.095066810774687,4.62211026407061,0.820365574767213,8.67778216660448,-0.153031411188166,-1.49073630699146,1.03956090837167,-0.669853156261654,-1.95871512828114,0.43264205181916,1.24938923663697,-0.0973342474913626,2.7970368306865,-3.36000874715734,-15.1722838742461,8.87811153074972,-18.0546487793345,-30.9532734169314,-5.74013480572659,-5.10023195316428,-7.73351469788841,-3.01988738442094,1.58203803412783,2.80762524036691,0.589477111966508
"9",40,0.57998679667828,0.0210203252005442,1.15523453710052,0.0457258526649729,0.0106776044911021,0.0863818625051369,5.21591953009137,1.30956477066246,9.46475116164226,-0.180271546148113,-1.49465582159359,1.0058980529434,-0.65739576594285,-1.91113677555381,0.443664844205132,1.30968748511339,-0.0632875987612771,2.82767316892332,-2.93403377243825,-15.5890520999815,8.69307919319253,-19.0013371889671,-31.6749738789044,-6.63820036046174,-5.50829745573649,-8.099681986632,-3.35382634026484,1.54743674428942,2.63785783286577,0.571630143959994
"10",50,0.472218953129504,-0.171191685485439,1.12308503254907,0.0258343029518722,0.000482571519320852,0.0540395405452692,5.74153281050756,1.25914197260581,10.7766142638302,-0.0642953115275032,-1.32479496338453,1.12597192339165,-0.617740546004629,-1.80984526937737,0.430234443774352,1.22706472737553,-0.126457629960692,2.7381514212759,-2.47612868918378,-14.2324043782996,9.49842766346791,-16.5826907120868,-29.9445285520548,-4.22440017725281,-5.19674853512621,-7.81096648404626,-3.05293043711229,1.53236565407401,2.77132326221125,0.535989922979214
