"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,0.571788505756758,-1.5656800056668,2.58905570160397,0.140615476455015,-0.00715582524335721,0.293194214584853,0.259052956487886,-2.16918364910048,2.37309252016286,-0.230325069635161,-1.48389900642578,0.890509807612398,-0.541329123931034,-1.81960833574737,0.507651808896044,1.21357118159412,-0.0957575910712002,2.64692927544473,-3.07107447397589,-13.712564538189,8.14137803726478,-19.9554935607191,-31.6290898536827,-9.06483831148117,-3.16580940781332,-4.70353482479861,-1.82907742258289,1.53944545101187,2.76065082283952,0.622592971691285
"2",14.1,0.326021622461496,-2.24713608017455,2.73302919360475,0.114872949539059,0.0190521038445235,0.219345491326968,2.79445297382647,0.18550230709681,5.36531410383704,-0.00915292376229982,-1.24719406348296,1.1206032838534,-0.540967865073478,-1.73447035936743,0.47679523617414,1.1581767590923,-0.128626231695678,2.54131486707617,-4.75731468738921,-16.0686825467467,6.82076692948343,-16.656250322161,-28.305748691779,-6.28982967634637,-3.96962403827706,-5.85720952754447,-2.31862619884412,1.29775509100637,2.44098540545533,0.259413808661834
"3",20,-0.038898939486522,-3.25948275728944,3.02524296937769,0.0544101687801676,-0.0158528144165543,0.12534843785134,2.25685733153959,-0.806302357549342,5.23268588769984,-0.168782187603625,-1.45127334853914,1.04922421061615,-0.562949078331436,-1.86299711576724,0.497948870230908,1.17185177769261,-0.152190647301018,2.71333390970757,-3.09770894822557,-15.4062572236495,9.3436050662971,-17.2573776338831,-29.769329286758,-6.45671016125434,-3.46870576986476,-5.40009401134881,-1.71859498574612,1.51559130702464,2.75971707664384,0.472983657198364
"4",22.4,-0.132259751690593,-3.80080574562327,3.17738023950912,0.0604299459943963,0.000441113412763973,0.124981531034085,2.78431846067066,-0.492309911651259,5.92334628338016,-0.154695927715504,-1.45125686075898,1.01602800894153,-0.597400590203289,-1.96225186822574,0.470746542358637,1.25473582008533,-0.110428146828366,2.80833861478468,-5.68075256231571,-19.1741173183575,7.16547692897021,-16.4979565893397,-28.7526300360575,-5.24074801890496,-4.10481740199512,-6.41311453879069,-2.10605932946074,1.53992773244842,2.84070531225684,0.368775028937178
"5",28.3,1.10873183888078,-2.56654972442523,4.85087661583651,0.0533448745848378,0.00333785712477899,0.106369166299684,2.67893425935089,-0.933982673678546,5.94461198033313,-0.196018255255178,-1.52691982480618,0.978419494674706,-0.544612970020681,-1.82862130643702,0.460953084993865,1.23923220419428,-0.0476117695639073,2.70819614281453,-5.96116492817857,-19.3067002743331,6.62163604680622,-17.9533115208648,-30.5382642374976,-6.48052538662037,-4.43280552124048,-6.90973574411787,-2.34140510687452,1.41402267047147,2.62629995189872,0.29736086552095
"6",30,0.751828377372906,-3.23789793035146,4.59380330728159,0.0343317194299432,-0.00446145984761151,0.0752600699867917,3.09789199278553,-0.55049419270212,6.43247993461665,-0.187190656444944,-1.48472758723726,0.94684100554317,-0.524976713250028,-1.7808103032241,0.51005729916076,1.25791633011622,-0.0343577247016215,2.69867365437242,-4.45457290724314,-17.1993528904956,8.46229404272028,-17.2208378184864,-29.7278837409816,-5.84372838369578,-4.10374561422958,-6.42399494366678,-2.02486803950073,1.43161371002298,2.68248508445679,0.35868629260246
"7",31.6,0.910789183494026,-3.33460133582657,4.89889070272644,0.0235746016839842,-0.00996821852645598,0.057957138060308,3.61667521721498,-0.209525524309399,7.43920507132902,-0.209402578889534,-1.50353578068861,0.950501294872203,-0.572341096290835,-1.78212308678181,0.510472646794647,1.17794509967242,-0.143611427063392,2.65583724162484,-3.13766223984057,-15.6105111633496,9.52310815530153,-16.9080222645991,-29.4253308522202,-5.20303651356549,-4.00686017707437,-6.47216994744015,-1.86317749286946,1.45943387472931,2.68910668922931,0.381878077288202
"8",36.1,0.617008864030592,-3.99888821602368,5.20063737190839,0.0180678583962301,-0.0122553186344381,0.0501260730499245,5.60463225509252,1.53348019776347,9.80220448575762,-0.167277419911875,-1.47631175695847,0.950131551977263,-0.613845084270772,-1.9190524149168,0.410882683943831,1.15515377007749,-0.177282497894962,2.61614255710484,-2.22251530809224,-15.5026247660159,10.9004296487996,-14.7042760906838,-27.1899602980804,-2.9234490979759,-4.21312560196155,-6.84270679999879,-1.86556248846802,1.42011179776265,2.81548500069612,0.291927481375449
"9",40,1.11346323100454,-3.68400594963808,5.64389961111181,0.0168509645895535,-0.00903518675879594,0.0431096779925022,5.49679056872894,1.44281269440969,9.87382518516633,-0.193930324236843,-1.49706648873765,0.94748585160495,-0.594867915122229,-1.85678159277208,0.448596980391872,1.18663989366967,-0.114946146979339,2.67235721478484,-2.12365343815787,-15.010754216865,10.5524399050694,-15.1325758156174,-27.9410176755198,-3.03517370866682,-4.33078372049705,-6.97169906543066,-2.09999918443363,1.41166213843619,2.79808210080489,0.354952193225982
"10",50,1.31136736030697,-4.12968887001734,6.61419565315668,0.00478288993466859,-0.0148576854440707,0.0237905830790837,5.67644544034242,0.761020282737675,11.1431711316088,-0.261536587988977,-1.58238850989667,0.907998083409768,-0.625688979552205,-1.91766585064008,0.52367078540735,1.24751865843969,-0.112159304055675,2.77234762840072,0.1115983055056,-12.961536902132,12.9106862145842,-15.2583262353197,-28.8971097125192,-3.16324971612654,-3.89627225248885,-6.63975906283456,-1.60323046979512,1.586109882006,2.92419820949969,0.538985351440573
