ID,ID.CapDate,X,Y,Capture.date,Grid,year,Sex,Age,treated.Y.N,EhungInt,EhungINF,EappInt,EappINF,H.poly.EPG,HpolINF
67297817,67297817-2012-07-05,90,100,05/07/2012,HA1,2012,F,Adult,1,0,0,2.173913043,1,0,0
66889018,66889018-2012-07-17,10,10,17/07/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
52842550,52842550-2012-07-18,60,90,18/07/2012,HA1,2012,F,Adult,0,0,0,0,0,11.53846154,1
67076015,67076015-2012-07-18,60,100,18/07/2012,HA1,2012,M,Adult,1,0,0,283.3333333,1,0,0
66815612,66815612-2012-07-18,80,90,18/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67259597,67259597-2012-07-18,90,50,18/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67074851,67074851-2012-07-17,0,50,17/07/2012,HA1,2012,M,NotAdult,1,0,0,0,0,10,1
66890033,66890033-2012-07-17,10,100,17/07/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67070550,67070550-2012-07-17,20,60,17/07/2012,HA1,2012,F,NotAdult,0,15,1,0,0,0,0
66809820,66809820-2012-07-17,30,50,17/07/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
49811771,49811771-2012-07-17,40,20,17/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67094099,67094099-2012-07-17,50,90,17/07/2012,HA1,2012,F,NotAdult,1,11.11111111,1,0,0,0,0
67125021,67125021-2012-07-17,80,100,17/07/2012,HA1,2012,M,Adult,1,0,0,0,0,4,1
66815612,66815612-2012-07-17,100,70,17/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66810776,66810776-2012-07-17,70,0,17/07/2012,HA1,2012,M,Adult,0,606.25,1,0,0,0,0
67074851,67074851-2012-08-14,10,70,14/08/2012,HA1,2012,M,Adult,1,0,0,38.88888889,1,13.88888889,1
67091302,67091302-2012-08-14,10,10,14/08/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
67002542,67002542-2012-08-14,10,0,14/08/2012,HA1,2012,M,Adult,1,0,0,167.6470588,1,0,0
49811771,49811771-2012-08-14,30,50,14/08/2012,HA1,2012,F,Adult,0,0,0,0,0,9.090909091,1
67070550,67070550-2012-08-14,30,100,14/08/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
52842550,52842550-2012-08-14,50,100,14/08/2012,HA1,2012,F,Adult,0,0,0,0,0,4.210526316,1
79618812,79618812-2012-08-14,50,40,14/08/2012,HA1,2012,M,Adult,0,0,0,13782.85714,1,0,0
66878865,66878865-2012-08-14,70,0,14/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67125021,67125021-2012-08-14,80,30,14/08/2012,HA1,2012,M,Adult,0,0,0,0,0,2.857142857,1
66889018,66889018-2012-07-31,0,20,31/07/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67281060,67281060-2012-07-31,0,80,31/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66859820,66859820-2012-07-31,0,90,31/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
49811771,49811771-2012-07-31,10,30,31/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67002542,67002542-2012-07-31,20,10,31/07/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
67091302,67091302-2012-07-31,30,10,31/07/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
67070550,67070550-2012-07-31,40,50,31/07/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
66878865,66878865-2012-07-31,60,100,31/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
52842550,52842550-2012-07-31,60,90,31/07/2012,HA1,2012,F,Adult,0,0,0,0,0,19.14893617,1
67257539,67257539-2012-07-31,60,50,31/07/2012,HA1,2012,F,NotAdult,1,0,0,426.0869565,1,0,0
66810776,66810776-2012-07-31,60,30,31/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66809616,66809616-2012-07-31,60,0,31/07/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
67259597,67259597-2012-07-31,80,40,31/07/2012,HA1,2012,F,Adult,0,NA,NA,NA,NA,NA,NA
67094099,67094099-2012-07-31,80,50,31/07/2012,HA1,2012,F,Adult,1,0,0,118.1818182,1,0,0
67088045,67088045-2012-07-31,100,90,31/07/2012,HA1,2012,F,NotAdult,0,NA,NA,NA,NA,NA,NA
66815612,66815612-2012-07-31,100,80,31/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67125021,67125021-2012-07-31,100,10,31/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67073562,67073562-2012-08-02,70,100,02/08/2012,HA1,2012,M,Adult,1,0,0,164.2857143,1,0,0
67123054,67123054-2012-08-02,70,90,02/08/2012,HA1,2012,M,Adult,0,0,0,60.86956522,1,0,0
79786616,79786616-2012-08-16,80,0,16/08/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
79610382,79610382-2012-08-16,80,10,16/08/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67123054,67123054-2012-08-16,80,90,16/08/2012,HA1,2012,M,Adult,0,0,0,5.555555556,1,0,0
79613350,79613350-2012-08-28,0,60,28/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67074851,67074851-2012-08-28,0,70,28/08/2012,HA1,2012,M,Adult,1,7.142857143,1,0,0,0,0
79783060,79783060-2012-08-28,10,40,28/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79796354,79796354-2012-08-28,10,0,28/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67091302,67091302-2012-08-28,20,10,28/08/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
67002542,67002542-2012-08-28,20,20,28/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79769374,79769374-2012-08-28,30,100,28/08/2012,HA1,2012,M,Adult,1,0,0,5.405405405,1,0,0
79786360,79786360-2012-08-28,30,10,28/08/2012,HA1,2012,F,NotAdult,0,0,0,300,1,0,0
79775545,79775545-2012-08-14,100,80,14/08/2012,HA1,2012,M,NotAdult,1,616.6666667,1,83.33333333,1,0,0
79639579,79639579-2012-08-14,80,100,14/08/2012,HA1,2012,F,Adult,0,121.2121212,1,0,0,0,0
67094099,67094099-2012-08-14,80,50,14/08/2012,HA1,2012,F,Adult,1,2367.123288,1,3452.054795,1,0,0
79772013,79772013-2012-08-15,10,80,15/08/2012,HA1,2012,M,Adult,1,28.57142857,1,0,0,0,0
79786360,79786360-2012-08-15,20,0,15/08/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
79783060,79783060-2012-08-15,30,20,15/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67010536,67010536-2012-08-15,50,20,15/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66880047,66880047-2012-08-15,100,20,15/08/2012,HA1,2012,M,Adult,1,0,0,833.3333333,1,0,0
66843623,66843623-2012-08-15,100,80,15/08/2012,HA1,2012,M,NotAdult,0,0,0,4600,1,0,0
79630588,79630588-2012-08-15,90,80,15/08/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
67287808,67287808-2012-08-15,90,90,15/08/2012,HA1,2012,F,NotAdult,0,0,0,9.090909091,1,0,0
67005821,67005821-2012-08-15,70,100,15/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67125021,67125021-2012-08-15,80,20,15/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
49811771,49811771-2012-08-28,40,0,28/08/2012,HA1,2012,F,Adult,0,0,0,0,0,1.315789474,1
79784326,79784326-2012-08-28,50,80,28/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79797834,79797834-2012-08-28,60,80,28/08/2012,HA1,2012,F,NotAdult,0,0,0,540,1,0,0
79618812,79618812-2012-08-28,90,70,28/08/2012,HA1,2012,M,Adult,0,0,0,4400,1,0,0
79782555,79782555-2012-08-28,90,80,28/08/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
79779379,79779379-2012-08-28,100,20,28/08/2012,HA1,2012,M,Adult,0,3.448275862,1,0,0,0,0
79770603,79770603-2012-08-29,30,90,29/08/2012,HA1,2012,M,NotAdult,0,0,0,0,0,0,0
67534600,67534600-2012-08-29,40,50,29/08/2012,HA1,2012,M,NotAdult,1,0,0,2027.586207,1,0,0
79771081,79771081-2012-08-29,40,100,29/08/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
67080373,67080373-2012-08-29,50,100,29/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79774854,79774854-2012-08-29,50,50,29/08/2012,HA1,2012,F,Adult,0,171.4285714,1,240,1,0,0
79768798,79768798-2012-08-29,70,90,29/08/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
66878865,66878865-2012-08-29,100,80,29/08/2012,HA1,2012,M,Adult,0,0,0,4,1,0,0
79770535,79770535-2012-08-30,100,10,30/08/2012,HA1,2012,F,NotAdult,0,0,0,NA,NA,NA,NA
66891529,66891529-2012-08-30,90,0,30/08/2012,HA1,2012,M,Adult,1,0,0,0,0,3.846153846,1
79638791,79638791-2012-08-30,90,80,30/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66849796,66849796-2012-08-30,80,40,30/08/2012,HA1,2012,F,Adult,1,0,0,227.5,1,2.5,1
66808052,66808052-2012-08-30,60,20,30/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67279792,67279792-2012-08-30,40,40,30/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66845816,66845816-2012-08-30,40,90,30/08/2012,HA1,2012,F,Adult,1,0,0,18618.18182,1,0,0
66828572,66828572-2012-08-30,30,0,30/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67125021,67125021-2012-08-29,100,40,29/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66818332,66818332-2012-08-30,20,80,30/08/2012,HA1,2012,F,NotAdult,0,0,0,NA,NA,NA,NA
66869343,66869343-2012-08-30,20,100,30/08/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66810301,66810301-2012-08-30,10,100,30/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66853619,66853619-2012-08-30,0,90,30/08/2012,HA1,2012,M,NotAdult,1,53.125,1,6675,1,0,0
79623797,79623797-2012-08-30,10,40,30/08/2012,HA1,2012,M,Adult,0,0,0,872.2222222,1,0,0
66889018,66889018-2012-08-30,0,0,30/08/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67007587,67007587-2012-08-30,10,70,30/08/2012,HA1,2012,M,Adult,0,0,0,850,1,0,0
79797893,79797893-2012-08-30,0,30,30/08/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66875804,66875804-2012-08-30,0,60,30/08/2012,HA1,2012,F,NotAdult,1,0,0,NA,NA,NA,NA
79788371,79788371-2012-09-11,10,0,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67279792,67279792-2012-09-11,10,40,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79780025,79780025-2012-09-11,10,70,11/09/2012,HA1,2012,M,NotAdult,1,2017.391304,1,0,0,0,0
49811771,49811771-2012-09-11,20,50,11/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79797359,79797359-2012-09-11,20,50,11/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79774581,79774581-2012-09-11,20,40,11/09/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
79797266,79797266-2012-09-11,20,30,11/09/2012,HA1,2012,F,NotAdult,0,7880,1,0,0,0,0
67091302,67091302-2012-09-11,20,20,11/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67002542,67002542-2012-09-11,20,10,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66859820,66859820-2012-09-11,60,50,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
79770007,79770007-2012-09-11,70,0,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79796354,79796354-2012-09-11,80,20,11/09/2012,HA1,2012,M,Adult,0,51.28205128,1,61.53846154,1,2.564102564,1
79769830,79769830-2012-09-11,90,40,11/09/2012,HA1,2012,F,Adult,0,484.6153846,1,0,0,0,0
79796374,79796374-2012-09-11,90,30,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,5.263157895,1
66808052,66808052-2012-09-11,100,10,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
79625010,79625010-2012-09-11,100,70,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79637279,79637279-2012-09-12,0,100,12/09/2012,HA1,2012,M,Adult,0,0,0,12.12121212,1,0,0
79789599,79789599-2012-09-12,20,60,12/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79630010,79630010-2012-09-12,40,80,12/09/2012,HA1,2012,F,Adult,0,0,0,NA,NA,NA,NA
67080373,67080373-2012-09-12,60,100,12/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79770029,79770029-2012-09-12,90,60,12/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79795857,79795857-2012-09-13,30,100,13/09/2012,HA1,2012,M,Adult,0,73.68421053,1,21.05263158,1,0,0
79795002,79795002-2012-09-13,30,100,13/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67279086,67279086-2012-09-25,0,10,25/09/2012,HA1,2012,M,Adult,1,0,0,NA,NA,NA,NA
67002542,67002542-2012-09-25,0,30,25/09/2012,HA1,2012,M,Adult,1,0,0,NA,NA,NA,NA
66872112,66872112-2012-09-25,0,70,25/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66878317,66878317-2012-09-25,0,100,25/09/2012,HA1,2012,M,Adult,1,0,0,NA,NA,NA,NA
67080373,67080373-2012-09-25,10,100,25/09/2012,HA1,2012,M,Adult,1,3.2,1,18.4,1,0,0
79630010,79630010-2012-09-25,10,90,25/09/2012,HA1,2012,F,Adult,0,15.78947368,1,0,0,0,0
49811771,49811771-2012-09-25,10,30,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79796354,79796354-2012-09-25,10,20,25/09/2012,HA1,2012,M,Adult,0,0,0,0,0,9.090909091,1
79786360,79786360-2012-09-25,10,10,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67006795,67006795-2012-09-25,20,40,25/09/2012,HA1,2012,M,Adult,0,0,0,9672.727273,1,0,0
66881074,66881074-2012-09-25,20,90,25/09/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67091302,67091302-2012-09-25,30,0,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79794592,79794592-2012-09-11,0,90,11/09/2012,HA1,2012,F,Adult,1,0,0,430,1,0,0
66853619,66853619-2012-09-11,0,100,11/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66818332,66818332-2012-09-11,10,80,11/09/2012,HA1,2012,F,Adult,0,673.4693878,1,69.3877551,1,0,0
79630102,79630102-2012-09-11,20,100,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
79786360,79786360-2012-09-11,30,30,11/09/2012,HA1,2012,F,Adult,0,0,0,14.28571429,1,0,0
79793093,79793093-2012-09-11,40,60,11/09/2012,HA1,2012,M,Adult,1,8.108108108,1,329.7297297,1,0,0
79770603,79770603-2012-09-11,40,100,11/09/2012,HA1,2012,M,Adult,0,5328.813559,1,0,0,0,0
66810112,66810112-2012-09-11,50,80,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,2.564102564,1
66869343,66869343-2012-09-11,60,100,11/09/2012,HA1,2012,M,Adult,1,0,0,4896,1,0,0
79768798,79768798-2012-09-11,80,100,11/09/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
84587833,84587833-2012-09-11,80,60,11/09/2012,HA1,2012,F,Adult,0,0,0,NA,NA,NA,NA
79618812,79618812-2012-09-11,80,60,11/09/2012,HA1,2012,M,Adult,0,0,0,0,0,6.666666667,1
66807101,66807101-2012-09-11,90,70,11/09/2012,HA1,2012,F,Adult,1,0,0,34187.7551,1,0,0
67089554,67089554-2012-09-25,40,90,25/09/2012,HA1,2012,F,Adult,0,91.11111111,1,82.22222222,1,0,0
79618812,79618812-2012-09-25,40,60,25/09/2012,HA1,2012,M,Adult,0,0,0,4.651162791,1,0,0
57079854,57079854-2012-09-25,50,20,25/09/2012,HA1,2012,F,Adult,1,0,0,0,0,4,1
66855532,66855532-2012-09-25,60,20,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,2.5,1
79786877,79786877-2012-09-25,60,10,25/09/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
66845816,66845816-2012-09-25,70,90,25/09/2012,HA1,2012,F,Adult,1,6.896551724,1,34.48275862,1,0,0
66893321,66893321-2012-09-25,70,70,25/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
79636804,79636804-2012-09-25,70,60,25/09/2012,HA1,2012,F,Adult,1,0,0,13600,1,0,0
84587833,84587833-2012-09-25,70,50,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79632292,79632292-2012-09-25,70,20,25/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66856609,66856609-2012-09-25,80,20,25/09/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
67003077,67003077-2012-09-25,80,100,25/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79783063,79783063-2012-09-28,100,60,28/09/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
79625010,79625010-2012-09-28,100,70,28/09/2012,HA1,2012,M,NA,0,88.46153846,1,0,0,0,0
79617018,79617018-2012-09-28,100,70,28/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79619290,79619290-2012-09-28,100,80,28/09/2012,HA1,2012,M,Adult,0,1392.982456,1,0,0,0,0
NA,NA-2012-09-28,100,80,28/09/2012,HA1,2012,NA,NA,0,NA,NA,NA,NA,NA,NA
66843623,66843623-2012-09-28,100,90,28/09/2012,HA1,2012,M,Adult,0,246.1538462,1,0,0,0,0
79624348,79624348-2012-09-28,90,80,28/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79773579,79773579-2012-09-12,30,90,12/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79612036,79612036-2012-09-12,30,30,12/09/2012,HA1,2012,M,NotAdult,0,0,0,0,0,0,0
66828572,66828572-2012-09-12,50,0,12/09/2012,HA1,2012,M,Adult,1,0,0,1687.5,1,0,0
79632292,79632292-2012-09-13,100,10,13/09/2012,HA1,2012,M,Adult,0,109.0909091,1,354.5454545,1,9.090909091,1
66845816,66845816-2012-09-13,60,100,13/09/2012,HA1,2012,F,Adult,1,0,0,10,1,0,0
79776324,79776324-2012-09-27,100,30,27/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79618628,79618628-2012-09-27,100,50,27/09/2012,HA1,2012,M,Adult,0,3781.818182,1,0,0,0,0
66867845,66867845-2012-09-27,100,90,27/09/2012,HA1,2012,M,Adult,1,254.5454545,1,618.1818182,1,0,0
79790568,79790568-2012-09-27,90,70,27/09/2012,HA1,2012,M,Adult,0,302.2222222,1,0,0,17.77777778,1
79793093,79793093-2012-09-27,90,50,27/09/2012,HA1,2012,M,Adult,1,697.1428571,1,342.8571429,1,0,0
79775849,79775849-2012-09-27,90,30,27/09/2012,HA1,2012,F,Adult,0,0,0,0,0,53.33333333,1
66810112,66810112-2012-09-27,80,40,27/09/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
79623859,79623859-2012-09-27,80,80,27/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
79619551,79619551-2012-09-27,60,80,27/09/2012,HA1,2012,M,NotAdult,1,0,0,513.0434783,1,0,0
79786569,79786569-2012-09-27,60,100,27/09/2012,HA1,2012,M,Adult,0,0,0,511.1111111,1,0,0
79795060,79795060-2012-09-27,50,50,27/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66866543,66866543-2012-09-27,50,0,27/09/2012,HA1,2012,F,NotAdult,0,0,0,2276.923077,1,0,0
67010054,67010054-2012-09-27,30,100,27/09/2012,HA1,2012,F,NotAdult,1,0,0,1626.086957,1,0,0
79638280,79638280-2012-09-27,30,60,27/09/2012,HA1,2012,F,Adult,0,1446.511628,1,172.0930233,1,0,0
79636804,79636804-2012-09-27,70,40,27/09/2012,HA1,2012,NA,NA,0,0,0,280.5970149,1,5.970149254,1
66828572,66828572-2012-09-27,30,20,27/09/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
84593844,84593844-2012-09-27,30,0,27/09/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
66821017,66821017-2012-09-27,20,50,27/09/2012,HA1,2012,F,NotAdult,0,0,0,NA,NA,NA,NA
67010260,67010260-2012-09-27,10,90,27/09/2012,HA1,2012,F,Adult,1,0,0,0,0,1.01010101,1
