"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"152",79623797,"79623797-2012-08-30",10,40,"2012-08-30","HA1",2012,"M","Adult",872.222222222222,0,0,2,11,0.153846153846154,13,2,11,0.153846153846154,13,0,5,14,0.263157894736842,19,2,17,0.105263157894737,19,0,8,17,0.32,25,3,22,0.12,25,0,14,30,0.318181818181818,44,3,41,0.0681818181818182,44,0,14,32,0.304347826086957,46,3,43,0.0652173913043478,46,0,18,40,0.310344827586207,58,5,53,0.0862068965517241,58,0,20,53,0.273972602739726,73,7,66,0.0958904109589041,73,0,23,58,0.283950617283951,81,8,73,0.0987654320987654,81,0,25,67,0.271739130434783,92,11,81,0.119565217391304,92,0,30,82,0.267857142857143,112,13,99,0.116071428571429,112
"154",67007587,"67007587-2012-08-30",10,70,"2012-08-30","HA1",2012,"M","Adult",850,0,0,7,8,0.466666666666667,15,4,11,0.266666666666667,15,0,9,14,0.391304347826087,23,4,19,0.173913043478261,23,0,13,19,0.40625,32,5,27,0.15625,32,0,15,24,0.384615384615385,39,6,33,0.153846153846154,39,0,18,26,0.409090909090909,44,6,38,0.136363636363636,44,0,20,28,0.416666666666667,48,6,42,0.125,48,0,23,32,0.418181818181818,55,7,48,0.127272727272727,55,0,24,39,0.380952380952381,63,9,54,0.142857142857143,63,0,24,44,0.352941176470588,68,10,58,0.147058823529412,68,0,30,58,0.340909090909091,88,12,76,0.136363636363636,88
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",61.5384615384615,1,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,4,7,0.363636363636364,11,2,9,0.181818181818182,11,0,6,16,0.272727272727273,22,5,17,0.227272727272727,22,0,9,30,0.230769230769231,39,6,33,0.153846153846154,39,0,9,32,0.219512195121951,41,6,35,0.146341463414634,41,0,9,35,0.204545454545455,44,8,36,0.181818181818182,44,0,11,37,0.229166666666667,48,8,40,0.166666666666667,48,0,11,43,0.203703703703704,54,10,44,0.185185185185185,54,0,12,46,0.206896551724138,58,10,48,0.172413793103448,58,0,15,64,0.189873417721519,79,14,65,0.177215189873418,79
"173",79637279,"79637279-2012-09-12",0,100,"2012-09-12","HA1",2012,"M","Adult",12.1212121212121,0,0,2,9,0.181818181818182,11,3,8,0.272727272727273,11,0,4,12,0.25,16,4,12,0.25,16,0,5,17,0.227272727272727,22,4,18,0.181818181818182,22,0,6,21,0.222222222222222,27,6,21,0.222222222222222,27,0,6,22,0.214285714285714,28,6,22,0.214285714285714,28,0,7,26,0.212121212121212,33,7,26,0.212121212121212,33,0,10,31,0.24390243902439,41,10,31,0.24390243902439,41,0,11,34,0.244444444444444,45,10,35,0.222222222222222,45,0,13,38,0.254901960784314,51,11,40,0.215686274509804,51,0,22,46,0.323529411764706,68,13,55,0.191176470588235,68
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",21.0526315789474,0,0,3,12,0.2,15,2,13,0.133333333333333,15,0,3,13,0.1875,16,3,13,0.1875,16,0,6,16,0.272727272727273,22,3,19,0.136363636363636,22,0,8,22,0.266666666666667,30,4,26,0.133333333333333,30,0,11,28,0.282051282051282,39,6,33,0.153846153846154,39,0,14,38,0.269230769230769,52,10,42,0.192307692307692,52,0,17,45,0.274193548387097,62,13,49,0.209677419354839,62,0,20,53,0.273972602739726,73,17,56,0.232876712328767,73,0,21,57,0.269230769230769,78,18,60,0.230769230769231,78,0,33,79,0.294642857142857,112,22,90,0.196428571428571,112
"189",67006795,"67006795-2012-09-25",20,40,"2012-09-25","HA1",2012,"M","Adult",9672.72727272727,0,0,2,16,0.111111111111111,18,2,16,0.111111111111111,18,0,5,27,0.15625,32,4,28,0.125,32,0,6,41,0.127659574468085,47,4,43,0.0851063829787234,47,0,12,55,0.17910447761194,67,6,61,0.0895522388059701,67,0,16,65,0.197530864197531,81,7,74,0.0864197530864197,81,0,18,76,0.191489361702128,94,9,85,0.0957446808510638,94,0,26,90,0.224137931034483,116,14,102,0.120689655172414,116,0,28,97,0.224,125,15,110,0.12,125,0,28,100,0.21875,128,15,113,0.1171875,128,0,34,132,0.204819277108434,166,21,145,0.126506024096386,166
"194",66818332,"66818332-2012-09-11",10,80,"2012-09-11","HA1",2012,"F","Adult",69.3877551020408,0,0,6,12,0.333333333333333,18,5,13,0.277777777777778,18,0,7,18,0.28,25,7,18,0.28,25,0,10,22,0.3125,32,8,24,0.25,32,0,16,30,0.347826086956522,46,8,38,0.173913043478261,46,0,17,34,0.333333333333333,51,9,42,0.176470588235294,51,0,17,36,0.320754716981132,53,9,44,0.169811320754717,53,0,19,39,0.327586206896552,58,10,48,0.172413793103448,58,0,24,42,0.363636363636364,66,11,55,0.166666666666667,66,0,26,46,0.361111111111111,72,12,60,0.166666666666667,72,0,30,65,0.315789473684211,95,17,78,0.178947368421053,95
"196",79786360,"79786360-2012-09-11",30,30,"2012-09-11","HA1",2012,"F","Adult",14.2857142857143,0,0,0,6,0,6,0,6,0,6,0,2,15,0.117647058823529,17,1,16,0.0588235294117647,17,0,6,24,0.2,30,3,27,0.1,30,0,9,41,0.18,50,7,43,0.14,50,0,10,49,0.169491525423729,59,8,51,0.135593220338983,59,0,11,58,0.159420289855072,69,8,61,0.115942028985507,69,0,15,70,0.176470588235294,85,9,76,0.105882352941176,85,0,21,80,0.207920792079208,101,12,89,0.118811881188119,101,0,23,81,0.221153846153846,104,12,92,0.115384615384615,104,0,34,104,0.246376811594203,138,17,121,0.123188405797101,138
"205",67089554,"67089554-2012-09-25",40,90,"2012-09-25","HA1",2012,"F","Adult",82.2222222222222,0,0,1,8,0.111111111111111,9,2,7,0.222222222222222,9,0,6,16,0.272727272727273,22,4,18,0.181818181818182,22,0,8,16,0.333333333333333,24,4,20,0.166666666666667,24,0,11,28,0.282051282051282,39,9,30,0.230769230769231,39,0,12,31,0.27906976744186,43,9,34,0.209302325581395,43,0,16,39,0.290909090909091,55,13,42,0.236363636363636,55,0,20,50,0.285714285714286,70,16,54,0.228571428571429,70,0,24,63,0.275862068965517,87,19,68,0.218390804597701,87,0,25,74,0.252525252525253,99,24,75,0.242424242424242,99,0,38,112,0.253333333333333,150,31,119,0.206666666666667,150
"206",79618812,"79618812-2012-09-25",40,60,"2012-09-25","HA1",2012,"M","Adult",4.65116279069767,0,0,2,6,0.25,8,2,6,0.25,8,0,7,8,0.466666666666667,15,3,12,0.2,15,0,8,18,0.307692307692308,26,3,23,0.115384615384615,26,0,11,37,0.229166666666667,48,5,43,0.104166666666667,48,0,12,42,0.222222222222222,54,7,47,0.12962962962963,54,0,15,48,0.238095238095238,63,10,53,0.158730158730159,63,0,21,64,0.247058823529412,85,14,71,0.164705882352941,85,0,25,76,0.247524752475248,101,17,84,0.168316831683168,101,0,29,84,0.256637168141593,113,18,95,0.15929203539823,113,0,48,154,0.237623762376238,202,40,162,0.198019801980198,202
"227",79632292,"79632292-2012-09-13",100,10,"2012-09-13","HA1",2012,"M","Adult",354.545454545455,1,0,3,8,0.272727272727273,11,3,8,0.272727272727273,11,0,4,9,0.307692307692308,13,3,10,0.230769230769231,13,0,5,16,0.238095238095238,21,3,18,0.142857142857143,21,0,7,22,0.241379310344828,29,4,25,0.137931034482759,29,0,9,23,0.28125,32,5,27,0.15625,32,0,10,25,0.285714285714286,35,5,30,0.142857142857143,35,0,10,31,0.24390243902439,41,5,36,0.121951219512195,41,0,11,32,0.255813953488372,43,6,37,0.13953488372093,43,0,11,32,0.255813953488372,43,6,37,0.13953488372093,43,0,12,41,0.226415094339623,53,9,44,0.169811320754717,53
"238",79786569,"79786569-2012-09-27",60,100,"2012-09-27","HA1",2012,"M","Adult",511.111111111112,0,0,5,11,0.3125,16,5,11,0.3125,16,0,6,17,0.260869565217391,23,8,15,0.347826086956522,23,0,9,27,0.25,36,10,26,0.277777777777778,36,0,12,34,0.260869565217391,46,13,33,0.282608695652174,46,0,13,35,0.270833333333333,48,13,35,0.270833333333333,48,0,14,45,0.23728813559322,59,17,42,0.288135593220339,59,0,14,50,0.21875,64,18,46,0.28125,64,0,14,55,0.202898550724638,69,18,51,0.260869565217391,69,0,15,62,0.194805194805195,77,18,59,0.233766233766234,77,0,25,98,0.203252032520325,123,33,90,0.268292682926829,123
"240",66866543,"66866543-2012-09-27",50,0,"2012-09-27","HA1",2012,"F","NotAdult",2276.92307692308,0,0,1,3,0.25,4,1,3,0.25,4,0,1,4,0.2,5,1,4,0.2,5,0,3,15,0.166666666666667,18,1,17,0.0555555555555556,18,0,6,23,0.206896551724138,29,3,26,0.103448275862069,29,0,6,27,0.181818181818182,33,3,30,0.0909090909090909,33,0,8,32,0.2,40,3,37,0.075,40,0,9,41,0.18,50,4,46,0.08,50,0,10,52,0.161290322580645,62,6,56,0.0967741935483871,62,0,12,60,0.166666666666667,72,8,64,0.111111111111111,72,0,22,95,0.188034188034188,117,15,102,0.128205128205128,117
"242",79638280,"79638280-2012-09-27",30,60,"2012-09-27","HA1",2012,"F","Adult",172.093023255814,0,0,7,9,0.4375,16,2,14,0.125,16,0,8,20,0.285714285714286,28,3,25,0.107142857142857,28,0,11,26,0.297297297297297,37,4,33,0.108108108108108,37,0,15,42,0.263157894736842,57,10,47,0.175438596491228,57,0,19,56,0.253333333333333,75,14,61,0.186666666666667,75,0,20,65,0.235294117647059,85,15,70,0.176470588235294,85,0,22,75,0.22680412371134,97,19,78,0.195876288659794,97,0,26,93,0.218487394957983,119,22,97,0.184873949579832,119,0,28,107,0.207407407407407,135,27,108,0.2,135,0,47,168,0.218604651162791,215,42,173,0.195348837209302,215
"251",79784299,"79784299-2012-09-28",80,70,"2012-09-28","HA1",2012,"F","NotAdult",638.095238095238,0,0,4,12,0.25,16,4,12,0.25,16,0,5,22,0.185185185185185,27,7,20,0.259259259259259,27,0,6,32,0.157894736842105,38,10,28,0.263157894736842,38,0,9,54,0.142857142857143,63,20,43,0.317460317460317,63,0,11,61,0.152777777777778,72,23,49,0.319444444444444,72,0,14,67,0.172839506172839,81,24,57,0.296296296296296,81,0,19,75,0.202127659574468,94,27,67,0.287234042553192,94,0,20,89,0.18348623853211,109,33,76,0.302752293577982,109,0,22,90,0.196428571428571,112,34,78,0.303571428571429,112,0,35,126,0.217391304347826,161,42,119,0.260869565217391,161
"256",79617035,"79617035-2012-10-09",100,0,"2012-10-09","HA1",2012,"F","Adult",54857.1428571429,0,0,4,5,0.444444444444444,9,3,6,0.333333333333333,9,0,5,5,0.5,10,4,6,0.4,10,0,6,14,0.3,20,5,15,0.25,20,0,6,17,0.260869565217391,23,5,18,0.217391304347826,23,0,7,20,0.259259259259259,27,6,21,0.222222222222222,27,0,9,31,0.225,40,6,34,0.15,40,0,12,34,0.260869565217391,46,6,40,0.130434782608696,46,0,14,36,0.28,50,7,43,0.14,50,0,14,41,0.254545454545455,55,7,48,0.127272727272727,55,0,17,55,0.236111111111111,72,12,60,0.166666666666667,72
"258",79775849,"79775849-2012-10-09",100,40,"2012-10-09","HA1",2012,"F","Adult",60.7142857142857,0,0,2,13,0.133333333333333,15,0,15,0,15,0,4,18,0.181818181818182,22,1,21,0.0454545454545455,22,0,6,25,0.193548387096774,31,3,28,0.0967741935483871,31,0,8,33,0.195121951219512,41,7,34,0.170731707317073,41,0,10,37,0.212765957446809,47,8,39,0.170212765957447,47,0,14,45,0.23728813559322,59,12,47,0.203389830508475,59,0,18,53,0.253521126760563,71,17,54,0.23943661971831,71,0,19,62,0.234567901234568,81,20,61,0.246913580246914,81,0,21,70,0.230769230769231,91,23,68,0.252747252747253,91,0,25,109,0.186567164179104,134,29,105,0.216417910447761,134
"264",79790568,"79790568-2012-10-09",90,80,"2012-10-09","HA1",2012,"M","Adult",38.0952380952381,0,0,5,19,0.208333333333333,24,8,16,0.333333333333333,24,0,6,35,0.146341463414634,41,12,29,0.292682926829268,41,0,6,41,0.127659574468085,47,14,33,0.297872340425532,47,0,10,57,0.149253731343284,67,17,50,0.253731343283582,67,0,12,63,0.16,75,20,55,0.266666666666667,75,0,12,68,0.15,80,23,57,0.2875,80,0,14,73,0.160919540229885,87,25,62,0.28735632183908,87,0,15,86,0.148514851485149,101,31,70,0.306930693069307,101,0,17,89,0.160377358490566,106,31,75,0.292452830188679,106,0,26,106,0.196969696969697,132,36,96,0.272727272727273,132
"270",79630840,"79630840-2012-10-09",70,70,"2012-10-09","HA1",2012,"F","NotAdult",35200,0,0,1,10,0.0909090909090909,11,3,8,0.272727272727273,11,0,3,20,0.130434782608696,23,6,17,0.260869565217391,23,0,7,33,0.175,40,13,27,0.325,40,0,14,52,0.212121212121212,66,19,47,0.287878787878788,66,0,15,59,0.202702702702703,74,22,52,0.297297297297297,74,0,17,66,0.204819277108434,83,24,59,0.289156626506024,83,0,23,91,0.201754385964912,114,35,79,0.307017543859649,114,0,25,112,0.182481751824818,137,42,95,0.306569343065693,137,0,27,113,0.192857142857143,140,42,98,0.3,140,0,42,161,0.206896551724138,203,49,154,0.241379310344828,203
"273",79786569,"79786569-2012-10-09",60,70,"2012-10-09","HA1",2012,"M","Adult",61800,0,0,0,11,0,11,3,8,0.272727272727273,11,0,5,15,0.25,20,6,14,0.3,20,0,7,21,0.25,28,8,20,0.285714285714286,28,0,12,40,0.230769230769231,52,14,38,0.269230769230769,52,0,13,53,0.196969696969697,66,20,46,0.303030303030303,66,0,18,65,0.216867469879518,83,29,54,0.349397590361446,83,0,22,84,0.207547169811321,106,34,72,0.320754716981132,106,0,30,104,0.223880597014925,134,38,96,0.283582089552239,134,0,31,113,0.215277777777778,144,38,106,0.263888888888889,144,0,47,184,0.203463203463203,231,56,175,0.242424242424242,231
"274",79781605,"79781605-2012-10-09",60,40,"2012-10-09","HA1",2012,"F","Adult",12600,0,0,2,8,0.2,10,3,7,0.3,10,0,5,13,0.277777777777778,18,4,14,0.222222222222222,18,0,7,24,0.225806451612903,31,7,24,0.225806451612903,31,0,15,37,0.288461538461538,52,14,38,0.269230769230769,52,0,19,47,0.287878787878788,66,17,49,0.257575757575758,66,0,19,56,0.253333333333333,75,17,58,0.226666666666667,75,0,25,69,0.265957446808511,94,19,75,0.202127659574468,94,0,25,85,0.227272727272727,110,22,88,0.2,110,0,26,96,0.213114754098361,122,26,96,0.213114754098361,122,0,48,180,0.210526315789474,228,40,188,0.175438596491228,228
