"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-0.805260978579183","-5.51206887292768","3.85994013551312"
"2","NemPrev_14.1","-5.29897566757482","-9.13856692380227","-1.36579561549165"
"3","NemPrev_20","-4.90906492694157","-8.92838846596256","-0.891203023596093"
"4","NemPrev_22.4","-6.3432100883033","-11.9802827838344","-0.627903462332284"
"5","NemPrev_28.3","-6.372185206884","-11.9783626857253","-0.674571284764972"
"6","NemPrev_30","-6.53132886729605","-12.1952742472225","-0.673166551475481"
"7","NemPrev_31.6","-7.31032361721422","-13.4497604347084","-1.01467036129049"
"8","NemPrev_36.1","-6.31188558516707","-12.6613472436856","0.224605116444722"
"9","NemPrev_40","-5.8012642805093","-12.1112711022368","0.602687307584213"
"10","NemPrev_50","-6.280989608624","-13.9173597231149","1.66252067386676"
