"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"28",52842550,"52842550-2012-06-19",50,80,"2012-06-19","HA1",2012,"F","Adult",142.857142857143,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,1,0,1,1,0,1,0,1,0,2,1,0.666666666666667,3,0,3,0,3,0,4,2,0.666666666666667,6,0,6,0,6,0,4,3,0.571428571428571,7,0,7,0,7,0,5,3,0.625,8,1,7,0.125,8,0,6,4,0.6,10,1,9,0.1,10,0,7,4,0.636363636363636,11,1,10,0.0909090909090909,11,0,12,7,0.631578947368421,19,1,18,0.0526315789473684,19
"29",67126571,"67126571-2012-06-19",60,60,"2012-06-19","HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,3,3,0.5,6,0,6,0,6,0,5,4,0.555555555555556,9,1,8,0.111111111111111,9,0,5,5,0.5,10,1,9,0.1,10,0,10,9,0.526315789473684,19,2,17,0.105263157894737,19
"54",66859820,"66859820-2012-07-04",0,100,"2012-07-04","HA1",2012,"M","Adult",4.44444444444444,1,0,1,0,1,1,0,1,0,1,0,3,0,1,3,0,3,0,3,0,3,0,1,3,0,3,0,3,0,4,0,1,4,0,4,0,4,0,4,0,1,4,0,4,0,4,0,5,0,1,5,0,5,0,5,0,6,0,1,6,0,6,0,6,0,7,1,0.875,8,0,8,0,8,0,8,1,0.888888888888889,9,0,9,0,9,0,12,3,0.8,15,0,15,0,15
"67",67070550,"67070550-2012-07-17",20,60,"2012-07-17","HA1",2012,"F","NotAdult",15,0,0,3,4,0.428571428571429,7,0,7,0,7,0,7,5,0.583333333333333,12,0,12,0,12,0,9,6,0.6,15,0,15,0,15,0,11,8,0.578947368421053,19,1,18,0.0526315789473684,19,0,11,11,0.5,22,1,21,0.0454545454545455,22,0,12,11,0.521739130434783,23,1,22,0.0434782608695652,23,0,14,13,0.518518518518518,27,1,26,0.037037037037037,27,0,16,14,0.533333333333333,30,2,28,0.0666666666666667,30,0,17,18,0.485714285714286,35,4,31,0.114285714285714,35,0,24,24,0.5,48,6,42,0.125,48
"73",66810776,"66810776-2012-07-17",70,0,"2012-07-17","HA1",2012,"M","Adult",606.25,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,2,0,2,0,2,0,1,3,0.25,4,2,2,0.5,4,0,1,3,0.25,4,2,2,0.5,4,0,1,4,0.2,5,2,3,0.4,5,0,3,6,0.333333333333333,9,3,6,0.333333333333333,9,0,4,8,0.333333333333333,12,3,9,0.25,12,0,4,10,0.285714285714286,14,3,11,0.214285714285714,14,0,5,16,0.238095238095238,21,5,16,0.238095238095238,21
"114",79639579,"79639579-2012-08-14",80,100,"2012-08-14","HA1",2012,"F","Adult",121.212121212121,0,0,2,4,0.333333333333333,6,0,6,0,6,0,3,5,0.375,8,0,8,0,8,0,3,7,0.3,10,0,10,0,10,0,5,7,0.416666666666667,12,0,12,0,12,0,5,8,0.384615384615385,13,0,13,0,13,0,5,10,0.333333333333333,15,0,15,0,15,0,5,13,0.277777777777778,18,1,17,0.0555555555555556,18,0,5,14,0.263157894736842,19,1,18,0.0526315789473684,19,0,5,14,0.263157894736842,19,1,18,0.0526315789473684,19,0,5,18,0.217391304347826,23,1,22,0.0434782608695652,23
"131",79779379,"79779379-2012-08-28",100,20,"2012-08-28","HA1",2012,"M","Adult",3.44827586206897,0,0,1,7,0.125,8,1,7,0.125,8,0,1,8,0.111111111111111,9,1,8,0.111111111111111,9,0,1,9,0.1,10,1,9,0.1,10,0,2,11,0.153846153846154,13,1,12,0.0769230769230769,13,0,2,14,0.125,16,1,15,0.0625,16,0,2,14,0.125,16,1,15,0.0625,16,0,3,15,0.166666666666667,18,1,17,0.0555555555555556,18,0,3,19,0.136363636363636,22,3,19,0.136363636363636,22,0,3,19,0.136363636363636,22,3,19,0.136363636363636,22,0,4,26,0.133333333333333,30,4,26,0.133333333333333,30
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",171.428571428571,0,0,0,6,0,6,2,4,0.333333333333333,6,0,0,6,0,6,2,4,0.333333333333333,6,0,3,7,0.3,10,2,8,0.2,10,0,3,9,0.25,12,2,10,0.166666666666667,12,0,3,10,0.230769230769231,13,2,11,0.153846153846154,13,0,3,16,0.157894736842105,19,3,16,0.157894736842105,19,0,3,20,0.130434782608696,23,5,18,0.217391304347826,23,0,4,22,0.153846153846154,26,5,21,0.192307692307692,26,0,4,25,0.137931034482759,29,6,23,0.206896551724138,29,0,14,55,0.202898550724638,69,10,59,0.144927536231884,69
"163",79797266,"79797266-2012-09-11",20,30,"2012-09-11","HA1",2012,"F","NotAdult",7880,0,0,0,7,0,7,0,7,0,7,0,0,13,0,13,2,11,0.153846153846154,13,0,0,20,0,20,3,17,0.15,20,0,2,27,0.0689655172413793,29,3,26,0.103448275862069,29,0,3,31,0.0882352941176471,34,3,31,0.0882352941176471,34,0,4,33,0.108108108108108,37,3,34,0.0810810810810811,37,0,6,44,0.12,50,7,43,0.14,50,0,8,47,0.145454545454545,55,8,47,0.145454545454545,55,0,8,49,0.140350877192982,57,8,49,0.140350877192982,57,0,10,57,0.149253731343284,67,10,57,0.149253731343284,67
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",51.2820512820513,1,0,1,3,0.25,4,0,4,0,4,0,2,4,0.333333333333333,6,0,6,0,6,0,4,11,0.266666666666667,15,1,14,0.0666666666666667,15,0,5,18,0.217391304347826,23,2,21,0.0869565217391304,23,0,5,20,0.2,25,2,23,0.08,25,0,5,23,0.178571428571429,28,3,25,0.107142857142857,28,0,7,23,0.233333333333333,30,3,27,0.1,30,0,7,28,0.2,35,5,30,0.142857142857143,35,0,7,29,0.194444444444444,36,6,30,0.166666666666667,36,0,9,39,0.1875,48,8,40,0.166666666666667,48
"169",79769830,"79769830-2012-09-11",90,40,"2012-09-11","HA1",2012,"F","Adult",484.615384615385,0,0,1,3,0.25,4,0,4,0,4,0,2,6,0.25,8,1,7,0.125,8,0,2,7,0.222222222222222,9,1,8,0.111111111111111,9,0,4,12,0.25,16,3,13,0.1875,16,0,5,13,0.277777777777778,18,3,15,0.166666666666667,18,0,6,14,0.3,20,3,17,0.15,20,0,6,21,0.222222222222222,27,4,23,0.148148148148148,27,0,7,22,0.241379310344828,29,4,25,0.137931034482759,29,0,8,29,0.216216216216216,37,6,31,0.162162162162162,37,0,9,44,0.169811320754717,53,8,45,0.150943396226415,53
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",73.6842105263158,0,0,1,11,0.0833333333333333,12,2,10,0.166666666666667,12,0,1,12,0.0769230769230769,13,2,11,0.153846153846154,13,0,3,14,0.176470588235294,17,2,15,0.117647058823529,17,0,3,18,0.142857142857143,21,3,18,0.142857142857143,21,0,4,23,0.148148148148148,27,6,21,0.222222222222222,27,0,4,32,0.111111111111111,36,7,29,0.194444444444444,36,0,5,38,0.116279069767442,43,9,34,0.209302325581395,43,0,7,46,0.132075471698113,53,12,41,0.226415094339623,53,0,7,48,0.127272727272727,55,12,43,0.218181818181818,55,0,13,60,0.178082191780822,73,17,56,0.232876712328767,73
