"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-0.754203659737074","-5.52505495118357","3.97714180517885"
"2","NemPrev_14.1","-1.15643655150092","-7.81903250357944","5.57068185875852"
"3","NemPrev_20","-3.38042505588487","-12.634385343506","6.03918898955817"
"4","NemPrev_22.4","1.20498487614648","-10.5877564140339","12.6515743460537"
"5","NemPrev_28.3","1.76311629552986","-10.6486862400438","13.7290562030766"
"6","NemPrev_30","1.1069649073288","-10.7286243308195","13.0283563549153"
"7","NemPrev_31.6","0.835751387826699","-12.1762232285456","13.8853809386395"
"8","NemPrev_36.1","3.32262038270638","-10.2027720691605","16.5098496311745"
"9","NemPrev_40","3.00735894362673","-11.0641745822304","16.9082558972284"
"10","NemPrev_50","-3.04273369767573","-18.0280233029023","11.9496624049791"
