"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-0.658507683403193","-4.75389360184874","3.44778474737234"
"2","NemPrev_14.1","0.23986457935635","-5.10650028691052","5.56566611338204"
"3","NemPrev_20","-1.5408507054317","-8.84369746680022","5.59603440256436"
"4","NemPrev_22.4","3.87409047203443","-5.267901335278","12.8115171511426"
"5","NemPrev_28.3","7.54549916402434","-1.97180038502773","16.9666634619603"
"6","NemPrev_30","6.80482011957643","-3.05294508429394","16.5354032675253"
"7","NemPrev_31.6","7.09024038789535","-3.13554375767256","17.0053419903005"
"8","NemPrev_36.1","8.89414602827724","-1.94898221257739","19.3892610838362"
"9","NemPrev_40","8.6588010153655","-3.09402666729002","20.0427620995289"
"10","NemPrev_50","3.23132198347143","-9.77269536740462","16.1872815607259"
