"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-0.686890086729873","-5.10718612511458","3.87170869299883"
"2","NemPrev_14.1","-4.18001172851808","-7.631569876024","-0.700914889412406"
"3","NemPrev_20","-4.25787231924756","-8.01995566262972","-0.487501916960901"
"4","NemPrev_22.4","-4.85433965947182","-9.80092435465438","0.31067232758491"
"5","NemPrev_28.3","-5.00046414665068","-10.0492283274353","0.0150396659048614"
"6","NemPrev_30","-4.66602224619568","-9.75647230562719","0.498905589049961"
"7","NemPrev_31.6","-4.69163074952754","-10.1572019853371","0.863744604769541"
"8","NemPrev_36.1","-4.01827817246414","-10.1237325804433","2.13547100640022"
"9","NemPrev_40","-3.770194651491","-9.65008876978342","2.16871463869894"
"10","NemPrev_50","-3.33754636814501","-10.2498196354577","3.76083500203197"
