"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"80",79618812,"79618812-2012-08-14",50,40,"2012-08-14","HA1",2012,"M","Adult",13782.8571428571,0,0,0,1,0,1,0,1,0,1,0,0,4,0,4,1,3,0.25,4,0,0,4,0,4,1,3,0.25,4,0,1,6,0.142857142857143,7,1,6,0.142857142857143,7,0,1,6,0.142857142857143,7,1,6,0.142857142857143,7,0,1,6,0.142857142857143,7,1,6,0.142857142857143,7,0,1,8,0.111111111111111,9,2,7,0.222222222222222,9,0,2,13,0.133333333333333,15,2,13,0.133333333333333,15,0,2,13,0.133333333333333,15,2,13,0.133333333333333,15,0,2,27,0.0689655172413793,29,5,24,0.172413793103448,29
"101",67123054,"67123054-2012-08-02",70,90,"2012-08-02","HA1",2012,"M","Adult",60.8695652173913,0,0,3,2,0.6,5,1,4,0.2,5,0,4,4,0.5,8,2,6,0.25,8,0,4,6,0.4,10,2,8,0.2,10,0,4,9,0.307692307692308,13,3,10,0.230769230769231,13,0,4,10,0.285714285714286,14,4,10,0.285714285714286,14,0,4,11,0.266666666666667,15,4,11,0.266666666666667,15,0,4,13,0.235294117647059,17,4,13,0.235294117647059,17,0,4,14,0.222222222222222,18,4,14,0.222222222222222,18,0,5,14,0.263157894736842,19,4,15,0.210526315789474,19,0,5,20,0.2,25,6,19,0.24,25
"104",67123054,"67123054-2012-08-16",80,90,"2012-08-16","HA1",2012,"M","Adult",5.55555555555556,0,0,3,5,0.375,8,3,5,0.375,8,0,3,9,0.25,12,4,8,0.333333333333333,12,0,5,10,0.333333333333333,15,5,10,0.333333333333333,15,0,5,17,0.227272727272727,22,9,13,0.409090909090909,22,0,5,18,0.217391304347826,23,9,14,0.391304347826087,23,0,5,19,0.208333333333333,24,9,15,0.375,24,0,6,19,0.24,25,9,16,0.36,25,0,6,19,0.24,25,9,16,0.36,25,0,6,21,0.222222222222222,27,11,16,0.407407407407407,27,0,7,23,0.233333333333333,30,12,18,0.4,30
"112",79786360,"79786360-2012-08-28",30,10,"2012-08-28","HA1",2012,"F","NotAdult",300,0,0,0,4,0,4,0,4,0,4,0,0,7,0,7,0,7,0,7,0,0,9,0,9,0,9,0,9,0,1,11,0.0833333333333333,12,1,11,0.0833333333333333,12,0,1,15,0.0625,16,2,14,0.125,16,0,1,17,0.0555555555555556,18,2,16,0.111111111111111,18,0,1,19,0.05,20,2,18,0.1,20,0,1,23,0.0416666666666667,24,3,21,0.125,24,0,4,23,0.148148148148148,27,3,24,0.111111111111111,27,0,5,30,0.142857142857143,35,4,31,0.114285714285714,35
"121",66843623,"66843623-2012-08-15",100,80,"2012-08-15","HA1",2012,"M","NotAdult",4600,0,0,0,4,0,4,1,3,0.25,4,0,0,5,0,5,2,3,0.4,5,0,0,5,0,5,2,3,0.4,5,0,0,7,0,7,2,5,0.285714285714286,7,0,2,8,0.2,10,2,8,0.2,10,0,2,8,0.2,10,2,8,0.2,10,0,3,10,0.230769230769231,13,4,9,0.307692307692308,13,0,3,13,0.1875,16,7,9,0.4375,16,0,3,13,0.1875,16,7,9,0.4375,16,0,6,17,0.260869565217391,23,9,14,0.391304347826087,23
"123",67287808,"67287808-2012-08-15",90,90,"2012-08-15","HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,2,0,2,0,2,0,2,0,2,6,0.25,8,1,7,0.125,8,0,3,8,0.272727272727273,11,4,7,0.363636363636364,11,0,3,10,0.230769230769231,13,5,8,0.384615384615385,13,0,3,10,0.230769230769231,13,5,8,0.384615384615385,13,0,5,10,0.333333333333333,15,5,10,0.333333333333333,15,0,5,12,0.294117647058824,17,6,11,0.352941176470588,17,0,5,12,0.294117647058824,17,6,11,0.352941176470588,17,0,5,14,0.263157894736842,19,6,13,0.315789473684211,19,0,7,17,0.291666666666667,24,9,15,0.375,24
"128",79797834,"79797834-2012-08-28",60,80,"2012-08-28","HA1",2012,"F","NotAdult",540,0,0,1,0,1,1,0,1,0,1,0,2,1,0.666666666666667,3,2,1,0.666666666666667,3,0,2,3,0.4,5,3,2,0.6,5,0,3,8,0.272727272727273,11,5,6,0.454545454545455,11,0,4,10,0.285714285714286,14,5,9,0.357142857142857,14,0,4,12,0.25,16,6,10,0.375,16,0,5,13,0.277777777777778,18,7,11,0.388888888888889,18,0,5,18,0.217391304347826,23,9,14,0.391304347826087,23,0,5,22,0.185185185185185,27,11,16,0.407407407407407,27,0,7,30,0.189189189189189,37,13,24,0.351351351351351,37
"129",79618812,"79618812-2012-08-28",90,70,"2012-08-28","HA1",2012,"M","Adult",4400,0,0,0,1,0,1,0,1,0,1,0,0,6,0,6,2,4,0.333333333333333,6,0,0,7,0,7,3,4,0.428571428571429,7,0,0,13,0,13,7,6,0.538461538461538,13,0,2,14,0.125,16,9,7,0.5625,16,0,2,15,0.117647058823529,17,9,8,0.529411764705882,17,0,3,16,0.157894736842105,19,9,10,0.473684210526316,19,0,4,19,0.173913043478261,23,11,12,0.478260869565217,23,0,4,20,0.166666666666667,24,11,13,0.458333333333333,24,0,6,27,0.181818181818182,33,13,20,0.393939393939394,33
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",240,0,0,0,6,0,6,2,4,0.333333333333333,6,0,0,6,0,6,2,4,0.333333333333333,6,0,3,6,0.333333333333333,9,2,7,0.222222222222222,9,0,3,8,0.272727272727273,11,2,9,0.181818181818182,11,0,3,9,0.25,12,2,10,0.166666666666667,12,0,3,15,0.166666666666667,18,4,14,0.222222222222222,18,0,3,17,0.15,20,5,15,0.25,20,0,4,19,0.173913043478261,23,5,18,0.217391304347826,23,0,4,20,0.166666666666667,24,5,19,0.208333333333333,24,0,12,46,0.206896551724138,58,14,44,0.241379310344828,58
"138",66878865,"66878865-2012-08-29",100,80,"2012-08-29","HA1",2012,"M","Adult",4,0,0,0,7,0,7,3,4,0.428571428571429,7,0,0,9,0,9,5,4,0.555555555555556,9,0,0,9,0,9,5,4,0.555555555555556,9,0,0,12,0,12,6,6,0.5,12,0,1,14,0.0666666666666667,15,6,9,0.4,15,0,1,14,0.0666666666666667,15,6,9,0.4,15,0,2,15,0.117647058823529,17,8,9,0.470588235294118,17,0,2,20,0.0909090909090909,22,11,11,0.5,22,0,2,21,0.0869565217391304,23,12,11,0.521739130434783,23,0,4,26,0.133333333333333,30,14,16,0.466666666666667,30
