"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"80",79618812,"79618812-2012-08-14",50,40,"2012-08-14","HA1",2012,"M","Adult",13782.8571428571,0,0,0,1,0,1,0,1,0,1,0,0,5,0,5,1,4,0.2,5,0,0,5,0,5,1,4,0.2,5,0,1,10,0.0909090909090909,11,1,10,0.0909090909090909,11,0,1,12,0.0769230769230769,13,1,12,0.0769230769230769,13,0,1,12,0.0769230769230769,13,1,12,0.0769230769230769,13,0,1,14,0.0666666666666667,15,2,13,0.133333333333333,15,0,2,22,0.0833333333333333,24,2,22,0.0833333333333333,24,0,2,23,0.08,25,2,23,0.08,25,0,3,47,0.06,50,5,45,0.1,50
"101",67123054,"67123054-2012-08-02",70,90,"2012-08-02","HA1",2012,"M","Adult",60.8695652173913,0,0,3,2,0.6,5,1,4,0.2,5,0,5,6,0.454545454545455,11,2,9,0.181818181818182,11,0,5,8,0.384615384615385,13,2,11,0.153846153846154,13,0,6,11,0.352941176470588,17,3,14,0.176470588235294,17,0,6,14,0.3,20,4,16,0.2,20,0,6,16,0.272727272727273,22,4,18,0.181818181818182,22,0,6,19,0.24,25,4,21,0.16,25,0,6,20,0.230769230769231,26,4,22,0.153846153846154,26,0,7,21,0.25,28,4,24,0.142857142857143,28,0,8,28,0.222222222222222,36,6,30,0.166666666666667,36
"104",67123054,"67123054-2012-08-16",80,90,"2012-08-16","HA1",2012,"M","Adult",5.55555555555556,0,0,3,5,0.375,8,3,5,0.375,8,0,3,10,0.230769230769231,13,5,8,0.384615384615385,13,0,5,13,0.277777777777778,18,6,12,0.333333333333333,18,0,5,21,0.192307692307692,26,10,16,0.384615384615385,26,0,5,22,0.185185185185185,27,10,17,0.37037037037037,27,0,5,23,0.178571428571429,28,10,18,0.357142857142857,28,0,6,24,0.2,30,10,20,0.333333333333333,30,0,6,25,0.193548387096774,31,10,21,0.32258064516129,31,0,6,27,0.181818181818182,33,12,21,0.363636363636364,33,0,7,29,0.194444444444444,36,13,23,0.361111111111111,36
"112",79786360,"79786360-2012-08-28",30,10,"2012-08-28","HA1",2012,"F","NotAdult",300,0,0,0,4,0,4,0,4,0,4,0,0,9,0,9,0,9,0,9,0,0,12,0,12,0,12,0,12,0,1,14,0.0666666666666667,15,1,14,0.0666666666666667,15,0,1,18,0.0526315789473684,19,2,17,0.105263157894737,19,0,1,20,0.0476190476190476,21,2,19,0.0952380952380952,21,0,1,24,0.04,25,2,23,0.08,25,0,1,28,0.0344827586206897,29,3,26,0.103448275862069,29,0,4,29,0.121212121212121,33,3,30,0.0909090909090909,33,0,6,37,0.13953488372093,43,4,39,0.0930232558139535,43
"121",66843623,"66843623-2012-08-15",100,80,"2012-08-15","HA1",2012,"M","NotAdult",4600,0,0,0,4,0,4,1,3,0.25,4,0,0,5,0,5,2,3,0.4,5,0,0,5,0,5,2,3,0.4,5,0,0,10,0,10,3,7,0.3,10,0,2,11,0.153846153846154,13,3,10,0.230769230769231,13,0,2,11,0.153846153846154,13,3,10,0.230769230769231,13,0,3,14,0.176470588235294,17,5,12,0.294117647058824,17,0,3,18,0.142857142857143,21,8,13,0.380952380952381,21,0,3,18,0.142857142857143,21,8,13,0.380952380952381,21,0,6,23,0.206896551724138,29,10,19,0.344827586206897,29
"123",67287808,"67287808-2012-08-15",90,90,"2012-08-15","HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,3,0,3,1,2,0.333333333333333,3,0,2,7,0.222222222222222,9,2,7,0.222222222222222,9,0,3,9,0.25,12,5,7,0.416666666666667,12,0,3,13,0.1875,16,6,10,0.375,16,0,3,14,0.176470588235294,17,6,11,0.352941176470588,17,0,5,14,0.263157894736842,19,6,13,0.315789473684211,19,0,5,16,0.238095238095238,21,7,14,0.333333333333333,21,0,5,17,0.227272727272727,22,7,15,0.318181818181818,22,0,5,19,0.208333333333333,24,7,17,0.291666666666667,24,0,7,23,0.233333333333333,30,10,20,0.333333333333333,30
"128",79797834,"79797834-2012-08-28",60,80,"2012-08-28","HA1",2012,"F","NotAdult",540,0,0,2,0,1,2,0,2,0,2,0,3,2,0.6,5,2,3,0.4,5,0,3,5,0.375,8,4,4,0.5,8,0,4,11,0.266666666666667,15,6,9,0.4,15,0,6,13,0.315789473684211,19,6,13,0.315789473684211,19,0,6,15,0.285714285714286,21,7,14,0.333333333333333,21,0,7,17,0.291666666666667,24,9,15,0.375,24,0,7,22,0.241379310344828,29,11,18,0.379310344827586,29,0,7,26,0.212121212121212,33,13,20,0.393939393939394,33,0,9,39,0.1875,48,16,32,0.333333333333333,48
"129",79618812,"79618812-2012-08-28",90,70,"2012-08-28","HA1",2012,"M","Adult",4400,0,0,0,3,0,3,1,2,0.333333333333333,3,0,0,8,0,8,3,5,0.375,8,0,0,10,0,10,4,6,0.4,10,0,0,17,0,17,8,9,0.470588235294118,17,0,2,18,0.1,20,10,10,0.5,20,0,2,19,0.0952380952380952,21,10,11,0.476190476190476,21,0,4,20,0.166666666666667,24,10,14,0.416666666666667,24,0,6,23,0.206896551724138,29,12,17,0.413793103448276,29,0,6,24,0.2,30,12,18,0.4,30,0,8,33,0.195121951219512,41,15,26,0.365853658536585,41
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",240,0,0,0,6,0,6,2,4,0.333333333333333,6,0,0,6,0,6,2,4,0.333333333333333,6,0,3,7,0.3,10,2,8,0.2,10,0,3,9,0.25,12,2,10,0.166666666666667,12,0,3,10,0.230769230769231,13,2,11,0.153846153846154,13,0,3,16,0.157894736842105,19,4,15,0.210526315789474,19,0,3,20,0.130434782608696,23,5,18,0.217391304347826,23,0,4,22,0.153846153846154,26,5,21,0.192307692307692,26,0,4,25,0.137931034482759,29,5,24,0.172413793103448,29,0,14,55,0.202898550724638,69,16,53,0.231884057971014,69
"138",66878865,"66878865-2012-08-29",100,80,"2012-08-29","HA1",2012,"M","Adult",4,0,0,0,8,0,8,3,5,0.375,8,0,0,11,0,11,6,5,0.545454545454545,11,0,0,11,0,11,6,5,0.545454545454545,11,0,0,15,0,15,7,8,0.466666666666667,15,0,2,17,0.105263157894737,19,7,12,0.368421052631579,19,0,2,17,0.105263157894737,19,7,12,0.368421052631579,19,0,3,19,0.136363636363636,22,9,13,0.409090909090909,22,0,3,24,0.111111111111111,27,12,15,0.444444444444444,27,0,3,25,0.107142857142857,28,13,15,0.464285714285714,28,0,6,31,0.162162162162162,37,16,21,0.432432432432432,37
