"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"238",79786569,"79786569-2012-09-27",60,100,"2012-09-27","HA1",2012,"M","Adult",511.111111111112,0,0,0,4,0,4,2,2,0.5,4,0,0,5,0,5,3,2,0.6,5,0,0,9,0,9,3,6,0.333333333333333,9,0,1,11,0.0833333333333333,12,4,8,0.333333333333333,12,0,1,11,0.0833333333333333,12,4,8,0.333333333333333,12,0,1,16,0.0588235294117647,17,6,11,0.352941176470588,17,0,1,18,0.0526315789473684,19,6,13,0.315789473684211,19,0,1,18,0.0526315789473684,19,6,13,0.315789473684211,19,0,1,20,0.0476190476190476,21,6,15,0.285714285714286,21,0,2,33,0.0571428571428571,35,11,24,0.314285714285714,35
"240",66866543,"66866543-2012-09-27",50,0,"2012-09-27","HA1",2012,"F","NotAdult",2276.92307692308,0,0,0,1,0,1,1,0,1,1,0,0,2,0,2,1,1,0.5,2,0,2,5,0.285714285714286,7,1,6,0.142857142857143,7,0,3,6,0.333333333333333,9,1,8,0.111111111111111,9,0,3,7,0.3,10,1,9,0.1,10,0,4,7,0.363636363636364,11,1,10,0.0909090909090909,11,0,4,8,0.333333333333333,12,1,11,0.0833333333333333,12,0,5,12,0.294117647058824,17,3,14,0.176470588235294,17,0,5,13,0.277777777777778,18,3,15,0.166666666666667,18,0,7,24,0.225806451612903,31,4,27,0.129032258064516,31
"242",79638280,"79638280-2012-09-27",30,60,"2012-09-27","HA1",2012,"F","Adult",172.093023255814,0,0,0,4,0,4,2,2,0.5,4,0,0,8,0,8,2,6,0.25,8,0,0,11,0,11,2,9,0.181818181818182,11,0,0,17,0,17,3,14,0.176470588235294,17,0,1,20,0.0476190476190476,21,4,17,0.19047619047619,21,0,1,23,0.0416666666666667,24,5,19,0.208333333333333,24,0,1,29,0.0333333333333333,30,7,23,0.233333333333333,30,0,2,32,0.0588235294117647,34,7,27,0.205882352941176,34,0,2,38,0.05,40,10,30,0.25,40,0,7,58,0.107692307692308,65,16,49,0.246153846153846,65
"251",79784299,"79784299-2012-09-28",80,70,"2012-09-28","HA1",2012,"F","NotAdult",638.095238095238,0,0,2,3,0.4,5,1,4,0.2,5,0,2,7,0.222222222222222,9,2,7,0.222222222222222,9,0,2,11,0.153846153846154,13,2,11,0.153846153846154,13,0,2,18,0.1,20,5,15,0.25,20,0,2,22,0.0833333333333333,24,6,18,0.25,24,0,2,25,0.0740740740740741,27,6,21,0.222222222222222,27,0,4,26,0.133333333333333,30,7,23,0.233333333333333,30,0,5,33,0.131578947368421,38,10,28,0.263157894736842,38,0,5,33,0.131578947368421,38,10,28,0.263157894736842,38,0,10,45,0.181818181818182,55,14,41,0.254545454545455,55
"256",79617035,"79617035-2012-10-09",100,0,"2012-10-09","HA1",2012,"F","Adult",54857.1428571429,0,0,1,1,0.5,2,1,1,0.5,2,0,1,1,0.5,2,1,1,0.5,2,0,1,3,0.25,4,1,3,0.25,4,0,1,3,0.25,4,1,3,0.25,4,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,2,7,0.222222222222222,9,1,8,0.111111111111111,9,0,3,8,0.272727272727273,11,1,10,0.0909090909090909,11,0,3,9,0.25,12,1,11,0.0833333333333333,12,0,3,11,0.214285714285714,14,1,13,0.0714285714285714,14,0,5,16,0.238095238095238,21,3,18,0.142857142857143,21
"258",79775849,"79775849-2012-10-09",100,40,"2012-10-09","HA1",2012,"F","Adult",60.7142857142857,0,0,1,4,0.2,5,0,5,0,5,0,2,6,0.25,8,1,7,0.125,8,0,2,9,0.181818181818182,11,1,10,0.0909090909090909,11,0,2,11,0.153846153846154,13,1,12,0.0769230769230769,13,0,2,13,0.133333333333333,15,1,14,0.0666666666666667,15,0,4,15,0.210526315789474,19,3,16,0.157894736842105,19,0,5,16,0.238095238095238,21,3,18,0.142857142857143,21,0,5,19,0.208333333333333,24,5,19,0.208333333333333,24,0,6,21,0.222222222222222,27,5,22,0.185185185185185,27,0,7,33,0.175,40,7,33,0.175,40
"264",79790568,"79790568-2012-10-09",90,80,"2012-10-09","HA1",2012,"M","Adult",38.0952380952381,0,0,2,3,0.4,5,0,5,0,5,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,2,11,0.153846153846154,13,2,11,0.153846153846154,13,0,2,18,0.1,20,3,17,0.15,20,0,2,19,0.0952380952380952,21,4,17,0.19047619047619,21,0,2,21,0.0869565217391304,23,6,17,0.260869565217391,23,0,2,24,0.0769230769230769,26,6,20,0.230769230769231,26,0,2,27,0.0689655172413793,29,8,21,0.275862068965517,29,0,2,27,0.0689655172413793,29,8,21,0.275862068965517,29,0,6,34,0.15,40,10,30,0.25,40
"270",79630840,"79630840-2012-10-09",70,70,"2012-10-09","HA1",2012,"F","NotAdult",35200,0,0,0,5,0,5,2,3,0.4,5,0,0,8,0,8,4,4,0.5,8,0,1,12,0.0769230769230769,13,5,8,0.384615384615385,13,0,2,17,0.105263157894737,19,6,13,0.315789473684211,19,0,3,19,0.136363636363636,22,7,15,0.318181818181818,22,0,4,21,0.16,25,8,17,0.32,25,0,5,28,0.151515151515152,33,10,23,0.303030303030303,33,0,5,34,0.128205128205128,39,12,27,0.307692307692308,39,0,5,34,0.128205128205128,39,12,27,0.307692307692308,39,0,8,46,0.148148148148148,54,15,39,0.277777777777778,54
"273",79786569,"79786569-2012-10-09",60,70,"2012-10-09","HA1",2012,"M","Adult",61800,0,0,0,5,0,5,2,3,0.4,5,0,1,6,0.142857142857143,7,4,3,0.571428571428571,7,0,1,8,0.111111111111111,9,5,4,0.555555555555556,9,0,1,16,0.0588235294117647,17,7,10,0.411764705882353,17,0,1,19,0.05,20,8,12,0.4,20,0,3,20,0.130434782608696,23,9,14,0.391304347826087,23,0,4,25,0.137931034482759,29,11,18,0.379310344827586,29,0,5,30,0.142857142857143,35,12,23,0.342857142857143,35,0,5,32,0.135135135135135,37,12,25,0.324324324324324,37,0,8,49,0.140350877192982,57,16,41,0.280701754385965,57
"274",79781605,"79781605-2012-10-09",60,40,"2012-10-09","HA1",2012,"F","Adult",12600,0,0,2,0,1,2,1,1,0.5,2,0,2,2,0.5,4,1,3,0.25,4,0,3,5,0.375,8,2,6,0.25,8,0,6,8,0.428571428571429,14,4,10,0.285714285714286,14,0,6,11,0.352941176470588,17,5,12,0.294117647058824,17,0,6,14,0.3,20,5,15,0.25,20,0,7,19,0.269230769230769,26,6,20,0.230769230769231,26,0,7,24,0.225806451612903,31,8,23,0.258064516129032,31,0,7,28,0.2,35,10,25,0.285714285714286,35,0,10,45,0.181818181818182,55,12,43,0.218181818181818,55
"292",67006795,"67006795-2012-10-09",20,40,"2012-10-09","HA1",2012,"M","Adult",4844.44444444444,0,0,0,3,0,3,1,2,0.333333333333333,3,0,0,5,0,5,1,4,0.2,5,0,0,6,0,6,1,5,0.166666666666667,6,0,3,11,0.214285714285714,14,2,12,0.142857142857143,14,0,3,16,0.157894736842105,19,4,15,0.210526315789474,19,0,3,16,0.157894736842105,19,4,15,0.210526315789474,19,0,3,19,0.136363636363636,22,4,18,0.181818181818182,22,0,5,22,0.185185185185185,27,5,22,0.185185185185185,27,0,6,22,0.214285714285714,28,5,23,0.178571428571429,28,0,9,36,0.2,45,8,37,0.177777777777778,45
"295",79769626,"79769626-2012-10-09",40,80,"2012-10-09","HA1",2012,"F","Adult",16933.3333333333,0,0,0,2,0,2,1,1,0.5,2,0,0,2,0,2,1,1,0.5,2,0,0,5,0,5,3,2,0.6,5,0,1,13,0.0714285714285714,14,7,7,0.5,14,0,1,16,0.0588235294117647,17,9,8,0.529411764705882,17,0,1,18,0.0526315789473684,19,9,10,0.473684210526316,19,0,2,28,0.0666666666666667,30,10,20,0.333333333333333,30,0,2,31,0.0606060606060606,33,12,21,0.363636363636364,33,0,3,34,0.0810810810810811,37,12,25,0.324324324324324,37,0,7,45,0.134615384615385,52,15,37,0.288461538461538,52
"300",79639272,"79639272-2012-10-10",0,90,"2012-10-10","HA1",2012,"M","Adult",444.444444444444,0,0,2,6,0.25,8,0,8,0,8,0,2,9,0.181818181818182,11,1,10,0.0909090909090909,11,0,2,13,0.133333333333333,15,1,14,0.0666666666666667,15,0,2,15,0.117647058823529,17,1,16,0.0588235294117647,17,0,2,15,0.117647058823529,17,1,16,0.0588235294117647,17,0,2,16,0.111111111111111,18,1,17,0.0555555555555556,18,0,2,20,0.0909090909090909,22,3,19,0.136363636363636,22,0,2,21,0.0869565217391304,23,3,20,0.130434782608696,23,0,3,23,0.115384615384615,26,5,21,0.192307692307692,26,0,3,34,0.0810810810810811,37,9,28,0.243243243243243,37
