"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","2.4583563241869","-1.55940683699817","6.49152408157694"
"2","NemPrev_14.1","4.14192451945714","-1.63585511522182","9.80098388559864"
"3","NemPrev_20","1.49331035565432","-4.89469111421614","7.8600357470663"
"4","NemPrev_22.4","2.99151569067666","-3.57809017358096","9.31064898571694"
"5","NemPrev_28.3","3.93009739429587","-3.37335133146323","11.0944601401723"
"6","NemPrev_30","5.19877384080631","-2.48470355787405","12.4917132198455"
"7","NemPrev_31.6","4.17935477832164","-3.63322202645733","11.9383426799493"
"8","NemPrev_36.1","5.11527259317499","-3.37384870328322","13.2423483802725"
"9","NemPrev_40","4.76299294017217","-3.80710894359238","12.9564948852083"
"10","NemPrev_50","6.88561390257446","-2.98486631617269","16.3037140334818"
