X,Y,ID,year,Grid,Capture.date,Sex,Age,EappINF,EappInt,EhungINF,EhungInt,HpolINF,ID.CapDate,treated.Y.N
100,80,66815612,2012,HA1,31/07/2012,F,Adult,0,NA,0,NA,0,66815612-2012-07-31,0
100,10,67125021,2012,HA1,31/07/2012,M,Adult,0,NA,0,NA,0,67125021-2012-07-31,0
70,100,67073562,2012,HA1,02/08/2012,M,Adult,1,164.2857143,0,NA,0,67073562-2012-08-02,1
70,90,67123054,2012,HA1,02/08/2012,M,Adult,1,60.86956522,0,NA,0,67123054-2012-08-02,0
80,0,79786616,2012,HA1,16/08/2012,F,NotAdult,0,NA,0,NA,0,79786616-2012-08-16,1
80,10,79610382,2012,HA1,16/08/2012,F,Adult,0,NA,0,NA,0,79610382-2012-08-16,0
80,90,67123054,2012,HA1,16/08/2012,M,Adult,1,5.555555556,0,NA,0,67123054-2012-08-16,0
0,60,79613350,2012,HA1,28/08/2012,M,Adult,0,NA,0,NA,0,79613350-2012-08-28,1
0,70,67074851,2012,HA1,28/08/2012,M,Adult,0,NA,1,7.142857143,0,67074851-2012-08-28,1
10,40,79783060,2012,HA1,28/08/2012,M,Adult,0,NA,0,NA,0,79783060-2012-08-28,1
10,0,79796354,2012,HA1,28/08/2012,M,Adult,0,NA,0,NA,0,79796354-2012-08-28,0
20,10,67091302,2012,HA1,28/08/2012,F,NotAdult,0,NA,0,NA,0,67091302-2012-08-28,0
20,20,67002542,2012,HA1,28/08/2012,M,Adult,0,NA,0,NA,0,67002542-2012-08-28,1
30,100,79769374,2012,HA1,28/08/2012,M,Adult,1,5.405405405,0,NA,0,79769374-2012-08-28,1
30,10,79786360,2012,HA1,28/08/2012,F,NotAdult,1,300,0,NA,0,79786360-2012-08-28,0
100,80,79775545,2012,HA1,14/08/2012,M,NotAdult,1,83.33333333,1,616.6666667,0,79775545-2012-08-14,1
80,100,79639579,2012,HA1,14/08/2012,F,Adult,0,NA,1,121.2121212,0,79639579-2012-08-14,0
80,50,67094099,2012,HA1,14/08/2012,F,Adult,1,3452.054795,1,2367.123288,0,67094099-2012-08-14,1
10,80,79772013,2012,HA1,15/08/2012,M,Adult,0,NA,1,28.57142857,0,79772013-2012-08-15,1
20,0,79786360,2012,HA1,15/08/2012,F,NotAdult,0,NA,0,NA,0,79786360-2012-08-15,0
30,20,79783060,2012,HA1,15/08/2012,M,Adult,0,NA,0,NA,0,79783060-2012-08-15,1
50,20,67010536,2012,HA1,15/08/2012,M,Adult,0,NA,0,NA,0,67010536-2012-08-15,0
100,20,66880047,2012,HA1,15/08/2012,M,Adult,1,833.3333333,0,NA,0,66880047-2012-08-15,1
100,80,66843623,2012,HA1,15/08/2012,M,NotAdult,1,4600,0,NA,0,66843623-2012-08-15,0
90,80,79630588,2012,HA1,15/08/2012,F,NotAdult,0,NA,0,NA,0,79630588-2012-08-15,1
90,90,67287808,2012,HA1,15/08/2012,F,NotAdult,1,9.090909091,0,NA,0,67287808-2012-08-15,0
70,100,67005821,2012,HA1,15/08/2012,M,Adult,0,NA,0,NA,0,67005821-2012-08-15,1
80,20,67125021,2012,HA1,15/08/2012,M,Adult,0,NA,0,NA,0,67125021-2012-08-15,0
40,0,49811771,2012,HA1,28/08/2012,F,Adult,0,NA,0,NA,1,49811771-2012-08-28,0
50,80,79784326,2012,HA1,28/08/2012,M,Adult,0,NA,0,NA,0,79784326-2012-08-28,1
60,80,79797834,2012,HA1,28/08/2012,F,NotAdult,1,540,0,NA,0,79797834-2012-08-28,0
90,70,79618812,2012,HA1,28/08/2012,M,Adult,1,4400,0,NA,0,79618812-2012-08-28,0
90,80,79782555,2012,HA1,28/08/2012,F,NotAdult,0,NA,0,NA,0,79782555-2012-08-28,1
100,20,79779379,2012,HA1,28/08/2012,M,Adult,0,NA,1,3.448275862,0,79779379-2012-08-28,0
30,90,79770603,2012,HA1,29/08/2012,M,NotAdult,0,NA,0,NA,0,79770603-2012-08-29,0
40,50,67534600,2012,HA1,29/08/2012,M,NotAdult,1,2027.586207,0,NA,0,67534600-2012-08-29,1
40,100,79771081,2012,HA1,29/08/2012,F,NotAdult,0,NA,0,NA,0,79771081-2012-08-29,0
50,100,67080373,2012,HA1,29/08/2012,M,Adult,0,NA,0,NA,0,67080373-2012-08-29,1
50,50,79774854,2012,HA1,29/08/2012,F,Adult,1,240,1,171.4285714,0,79774854-2012-08-29,0
70,90,79768798,2012,HA1,29/08/2012,F,Adult,0,NA,0,NA,0,79768798-2012-08-29,1
100,80,66878865,2012,HA1,29/08/2012,M,Adult,1,4,0,NA,0,66878865-2012-08-29,0
100,10,79770535,2012,HA1,30/08/2012,F,NotAdult,NA,NA,0,NA,NA,79770535-2012-08-30,0
90,0,66891529,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,1,66891529-2012-08-30,1
90,80,79638791,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,79638791-2012-08-30,0
80,40,66849796,2012,HA1,30/08/2012,F,Adult,1,227.5,0,NA,1,66849796-2012-08-30,1
60,20,66808052,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,66808052-2012-08-30,0
40,40,67279792,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,67279792-2012-08-30,1
40,90,66845816,2012,HA1,30/08/2012,F,Adult,1,18618.18182,0,NA,0,66845816-2012-08-30,1
30,0,66828572,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,66828572-2012-08-30,1
100,40,67125021,2012,HA1,29/08/2012,M,Adult,0,NA,0,NA,0,67125021-2012-08-29,0
20,80,66818332,2012,HA1,30/08/2012,F,NotAdult,NA,NA,0,NA,NA,66818332-2012-08-30,0
20,100,66869343,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,66869343-2012-08-30,1
10,100,66810301,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,66810301-2012-08-30,0
0,90,66853619,2012,HA1,30/08/2012,M,NotAdult,1,6675,1,53.125,0,66853619-2012-08-30,1
10,40,79623797,2012,HA1,30/08/2012,M,Adult,1,872.2222222,0,NA,0,79623797-2012-08-30,0
0,0,66889018,2012,HA1,30/08/2012,F,Adult,0,NA,0,NA,0,66889018-2012-08-30,1
10,70,67007587,2012,HA1,30/08/2012,M,Adult,1,850,0,NA,0,67007587-2012-08-30,0
0,30,79797893,2012,HA1,30/08/2012,M,Adult,0,NA,0,NA,0,79797893-2012-08-30,0
0,60,66875804,2012,HA1,30/08/2012,F,NotAdult,NA,NA,0,NA,NA,66875804-2012-08-30,1
10,0,79788371,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,79788371-2012-09-11,0
10,40,67279792,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,67279792-2012-09-11,1
10,70,79780025,2012,HA1,11/09/2012,M,NotAdult,0,NA,1,2017.391304,0,79780025-2012-09-11,1
20,50,49811771,2012,HA1,11/09/2012,F,Adult,0,NA,0,NA,0,49811771-2012-09-11,0
20,50,79797359,2012,HA1,11/09/2012,F,Adult,0,NA,0,NA,0,79797359-2012-09-11,0
20,40,79774581,2012,HA1,11/09/2012,F,NotAdult,0,NA,0,NA,0,79774581-2012-09-11,1
20,30,79797266,2012,HA1,11/09/2012,F,NotAdult,0,NA,1,7880,0,79797266-2012-09-11,0
20,20,67091302,2012,HA1,11/09/2012,F,Adult,0,NA,0,NA,0,67091302-2012-09-11,0
20,10,67002542,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,67002542-2012-09-11,1
60,50,66859820,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,66859820-2012-09-11,0
70,0,79770007,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,79770007-2012-09-11,1
80,20,79796354,2012,HA1,11/09/2012,M,Adult,1,61.53846154,1,51.28205128,1,79796354-2012-09-11,0
90,40,79769830,2012,HA1,11/09/2012,F,Adult,0,NA,1,484.6153846,0,79769830-2012-09-11,0
90,30,79796374,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,1,79796374-2012-09-11,1
100,10,66808052,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,66808052-2012-09-11,0
100,70,79625010,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,79625010-2012-09-11,1
0,100,79637279,2012,HA1,12/09/2012,M,Adult,1,12.12121212,0,NA,0,79637279-2012-09-12,0
20,60,79789599,2012,HA1,12/09/2012,M,Adult,0,NA,0,NA,0,79789599-2012-09-12,1
40,80,79630010,2012,HA1,12/09/2012,F,Adult,NA,NA,0,NA,NA,79630010-2012-09-12,0
60,100,67080373,2012,HA1,12/09/2012,M,Adult,0,NA,0,NA,0,67080373-2012-09-12,1
90,60,79770029,2012,HA1,12/09/2012,M,Adult,0,NA,0,NA,0,79770029-2012-09-12,1
30,100,79795857,2012,HA1,13/09/2012,M,Adult,1,21.05263158,1,73.68421053,0,79795857-2012-09-13,0
30,100,79795002,2012,HA1,13/09/2012,M,Adult,0,NA,0,NA,0,79795002-2012-09-13,1
0,10,67279086,2012,HA1,25/09/2012,M,Adult,NA,NA,0,NA,NA,67279086-2012-09-25,1
0,30,67002542,2012,HA1,25/09/2012,M,Adult,NA,NA,0,NA,NA,67002542-2012-09-25,1
0,70,66872112,2012,HA1,25/09/2012,M,Adult,0,NA,0,NA,0,66872112-2012-09-25,0
0,100,66878317,2012,HA1,25/09/2012,M,Adult,NA,NA,0,NA,NA,66878317-2012-09-25,1
10,100,67080373,2012,HA1,25/09/2012,M,Adult,1,18.4,1,3.2,0,67080373-2012-09-25,1
10,90,79630010,2012,HA1,25/09/2012,F,Adult,0,NA,1,15.78947368,0,79630010-2012-09-25,0
10,30,49811771,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,49811771-2012-09-25,0
10,20,79796354,2012,HA1,25/09/2012,M,Adult,0,NA,0,NA,1,79796354-2012-09-25,0
10,10,79786360,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,79786360-2012-09-25,0
20,40,67006795,2012,HA1,25/09/2012,M,Adult,1,9672.727273,0,NA,0,67006795-2012-09-25,0
20,90,66881074,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,66881074-2012-09-25,1
30,0,67091302,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,67091302-2012-09-25,0
0,90,79794592,2012,HA1,11/09/2012,F,Adult,1,430,0,NA,0,79794592-2012-09-11,1
0,100,66853619,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,66853619-2012-09-11,1
10,80,66818332,2012,HA1,11/09/2012,F,Adult,1,69.3877551,1,673.4693878,0,66818332-2012-09-11,0
20,100,79630102,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,0,79630102-2012-09-11,0
30,30,79786360,2012,HA1,11/09/2012,F,Adult,1,14.28571429,0,NA,0,79786360-2012-09-11,0
40,60,79793093,2012,HA1,11/09/2012,M,Adult,1,329.7297297,1,8.108108108,0,79793093-2012-09-11,1
40,100,79770603,2012,HA1,11/09/2012,M,Adult,0,NA,1,5328.813559,0,79770603-2012-09-11,0
50,80,66810112,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,1,66810112-2012-09-11,0
60,100,66869343,2012,HA1,11/09/2012,M,Adult,1,4896,0,NA,0,66869343-2012-09-11,1
80,100,79768798,2012,HA1,11/09/2012,F,Adult,0,NA,0,NA,0,79768798-2012-09-11,1
80,60,84587833,2012,HA1,11/09/2012,F,Adult,NA,NA,0,NA,NA,84587833-2012-09-11,0
80,60,79618812,2012,HA1,11/09/2012,M,Adult,0,NA,0,NA,1,79618812-2012-09-11,0
90,70,66807101,2012,HA1,11/09/2012,F,Adult,1,34187.7551,0,NA,0,66807101-2012-09-11,1
40,90,67089554,2012,HA1,25/09/2012,F,Adult,1,82.22222222,1,91.11111111,0,67089554-2012-09-25,0
40,60,79618812,2012,HA1,25/09/2012,M,Adult,1,4.651162791,0,NA,0,79618812-2012-09-25,0
50,20,57079854,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,1,57079854-2012-09-25,1
60,20,66855532,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,1,66855532-2012-09-25,0
60,10,79786877,2012,HA1,25/09/2012,M,NotAdult,0,NA,0,NA,0,79786877-2012-09-25,1
70,90,66845816,2012,HA1,25/09/2012,F,Adult,1,34.48275862,1,6.896551724,0,66845816-2012-09-25,1
70,70,66893321,2012,HA1,25/09/2012,M,Adult,0,NA,0,NA,0,66893321-2012-09-25,0
70,60,79636804,2012,HA1,25/09/2012,F,Adult,1,13600,0,NA,0,79636804-2012-09-25,1
70,50,84587833,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,84587833-2012-09-25,0
70,20,79632292,2012,HA1,25/09/2012,M,Adult,0,NA,0,NA,0,79632292-2012-09-25,0
80,20,66856609,2012,HA1,25/09/2012,M,NotAdult,0,NA,0,NA,0,66856609-2012-09-25,1
80,100,67003077,2012,HA1,25/09/2012,F,Adult,0,NA,0,NA,0,67003077-2012-09-25,0
100,60,79783063,2012,HA1,28/09/2012,F,Adult,0,NA,0,NA,0,79783063-2012-09-28,0
100,70,79625010,2012,HA1,28/09/2012,M,NA,0,NA,1,88.46153846,0,79625010-2012-09-28,0
100,70,79617018,2012,HA1,28/09/2012,M,Adult,0,NA,0,NA,0,79617018-2012-09-28,1
100,80,79619290,2012,HA1,28/09/2012,M,Adult,0,NA,1,1392.982456,0,79619290-2012-09-28,0
100,80,NA,2012,HA1,28/09/2012,NA,NA,NA,NA,0,NA,NA,NA-2012-09-28,0
100,90,66843623,2012,HA1,28/09/2012,M,Adult,0,NA,1,246.1538462,0,66843623-2012-09-28,0
90,80,79624348,2012,HA1,28/09/2012,M,Adult,0,NA,0,NA,0,79624348-2012-09-28,1
30,90,79773579,2012,HA1,12/09/2012,M,Adult,0,NA,0,NA,0,79773579-2012-09-12,1
30,30,79612036,2012,HA1,12/09/2012,M,NotAdult,0,NA,0,NA,0,79612036-2012-09-12,0
50,0,66828572,2012,HA1,12/09/2012,M,Adult,1,1687.5,0,NA,0,66828572-2012-09-12,1
100,10,79632292,2012,HA1,13/09/2012,M,Adult,1,354.5454545,1,109.0909091,1,79632292-2012-09-13,0
60,100,66845816,2012,HA1,13/09/2012,F,Adult,1,10,0,NA,0,66845816-2012-09-13,1
100,30,79776324,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,79776324-2012-09-27,1
100,50,79618628,2012,HA1,27/09/2012,M,Adult,0,NA,1,3781.818182,0,79618628-2012-09-27,0
100,90,66867845,2012,HA1,27/09/2012,M,Adult,1,618.1818182,1,254.5454545,0,66867845-2012-09-27,1
90,70,79790568,2012,HA1,27/09/2012,M,Adult,0,NA,1,302.2222222,1,79790568-2012-09-27,0
90,50,79793093,2012,HA1,27/09/2012,M,Adult,1,342.8571429,1,697.1428571,0,79793093-2012-09-27,1
90,30,79775849,2012,HA1,27/09/2012,F,Adult,0,NA,0,NA,1,79775849-2012-09-27,0
80,40,66810112,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,66810112-2012-09-27,0
80,80,79623859,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,79623859-2012-09-27,1
60,80,79619551,2012,HA1,27/09/2012,M,NotAdult,1,513.0434783,0,NA,0,79619551-2012-09-27,1
60,100,79786569,2012,HA1,27/09/2012,M,Adult,1,511.1111111,0,NA,0,79786569-2012-09-27,0
50,50,79795060,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,79795060-2012-09-27,1
50,0,66866543,2012,HA1,27/09/2012,F,NotAdult,1,2276.923077,0,NA,0,66866543-2012-09-27,0
30,100,67010054,2012,HA1,27/09/2012,F,NotAdult,1,1626.086957,0,NA,0,67010054-2012-09-27,1
30,60,79638280,2012,HA1,27/09/2012,F,Adult,1,172.0930233,1,1446.511628,0,79638280-2012-09-27,0
70,40,79636804,2012,HA1,27/09/2012,NA,NA,1,280.5970149,0,NA,1,79636804-2012-09-27,0
30,20,66828572,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,66828572-2012-09-27,1
30,0,84593844,2012,HA1,27/09/2012,F,Adult,0,NA,0,NA,0,84593844-2012-09-27,1
20,50,66821017,2012,HA1,27/09/2012,F,NotAdult,NA,NA,0,NA,NA,66821017-2012-09-27,0
10,90,67010260,2012,HA1,27/09/2012,F,Adult,0,NA,0,NA,1,67010260-2012-09-27,1
0,40,66867586,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,66867586-2012-09-27,0
0,80,79637279,2012,HA1,27/09/2012,M,Adult,0,NA,0,NA,0,79637279-2012-09-27,0
0,90,79630102,2012,HA1,27/09/2012,NA,NA,0,NA,0,NA,0,79630102-2012-09-27,0
80,70,79784299,2012,HA1,28/09/2012,F,NotAdult,1,638.0952381,0,NA,0,79784299-2012-09-28,0
70,90,79793298,2012,HA1,28/09/2012,F,Adult,0,NA,0,NA,0,79793298-2012-09-28,1
60,40,79786865,2012,HA1,28/09/2012,M,Adult,NA,NA,0,NA,NA,79786865-2012-09-28,0
